lead_code,total_due,dpd_bucket,state
LDSMFG_100225,362403,30-60,UP
LDSMFG_100226,248307,90-180,Tamil Nadu
LDSMFG_100227,205235,60-90,Delhi
LDSMFG_100228,30939,30-60,UP
LDSMFG_100229,447141,30-60,Karnataka
LDSMFG_100230,441157,90-180,Tamil Nadu
LDSMFG_100231,157906,60-90,Tamil Nadu
LDSMFG_100232,23047,180+,Maharashtra
LDSMFG_100233,293249,90-180,UP
LDSMFG_100234,80766,30-60,Maharashtra
LDSMFG_100235,413923,90-180,Tamil Nadu
LDSMFG_100236,420192,30-60,Maharashtra
LDSMFG_100237,49262,180+,Delhi
LDSMFG_100238,392261,30-60,Tamil Nadu
LDSMFG_100239,290920,30-60,Delhi
LDSMFG_100240,166152,60-90,Maharashtra
LDSMFG_100241,133376,30-60,Delhi
LDSMFG_100242,465058,30-60,Tamil Nadu
LDSMFG_100243,459589,60-90,Tamil Nadu
LDSMFG_100244,142848,60-90,Karnataka
LDSMFG_100245,97787,60-90,Maharashtra
LDSMFG_100246,132948,90-180,Karnataka
LDSMFG_100247,60016,60-90,Tamil Nadu
LDSMFG_100248,407690,180+,Karnataka
LDSMFG_100249,456269,30-60,Tamil Nadu
LDSMFG_100250,26959,30-60,Tamil Nadu
LDSMFG_100251,141602,60-90,Tamil Nadu
LDSMFG_100252,230928,30-60,Maharashtra
LDSMFG_100253,386245,30-60,Karnataka
LDSMFG_100254,270892,180+,Delhi
LDSMFG_100255,233576,60-90,Karnataka
LDSMFG_100256,496314,30-60,Maharashtra
LDSMFG_100257,18545,90-180,Maharashtra
LDSMFG_100258,394803,30-60,UP
LDSMFG_100259,464415,60-90,Delhi
LDSMFG_100260,170838,30-60,Delhi
LDSMFG_100261,340674,30-60,UP
LDSMFG_100262,360701,30-60,UP
LDSMFG_100263,66087,180+,Karnataka
LDSMFG_100264,494055,30-60,Karnataka
LDSMFG_100265,73840,60-90,Karnataka
LDSMFG_100266,123451,30-60,Maharashtra
LDSMFG_100267,452600,30-60,Tamil Nadu
LDSMFG_100268,318149,60-90,Karnataka
LDSMFG_100269,444792,60-90,Delhi
LDSMFG_100270,44353,90-180,Karnataka
LDSMFG_100271,198075,180+,Tamil Nadu
LDSMFG_100272,219283,30-60,Karnataka
LDSMFG_100273,319877,30-60,Maharashtra
LDSMFG_100274,70318,90-180,Tamil Nadu
LDSMFG_100275,246025,180+,Maharashtra
LDSMFG_100276,487690,60-90,Maharashtra
LDSMFG_100277,421880,60-90,Maharashtra
LDSMFG_100278,72172,30-60,Delhi
LDSMFG_100279,221688,60-90,UP
LDSMFG_100280,261951,30-60,UP
LDSMFG_100281,98264,180+,UP
LDSMFG_100282,251458,30-60,Delhi
LDSMFG_100283,293880,30-60,Delhi
LDSMFG_100284,230281,60-90,Maharashtra
LDSMFG_100285,117859,30-60,UP
LDSMFG_100286,379325,60-90,UP
LDSMFG_100287,399070,180+,Karnataka
LDSMFG_100288,357228,60-90,Tamil Nadu
LDSMFG_100289,436839,180+,Karnataka
LDSMFG_100290,274536,30-60,UP
LDSMFG_100291,322824,30-60,Maharashtra
LDSMFG_100292,262426,180+,Maharashtra
LDSMFG_100293,182789,30-60,Karnataka
LDSMFG_100294,223164,90-180,Tamil Nadu
LDSMFG_100295,318003,60-90,Delhi
LDSMFG_100296,130657,60-90,UP
LDSMFG_100297,240167,60-90,UP
LDSMFG_100298,162381,90-180,UP
LDSMFG_100299,485671,180+,Delhi
LDSMFG_100300,199806,30-60,Maharashtra
LDSMFG_100301,75467,60-90,Tamil Nadu
LDSMFG_100302,188734,30-60,Maharashtra
LDSMFG_100303,103506,90-180,Delhi
LDSMFG_100304,114751,30-60,Maharashtra
LDSMFG_100305,386050,60-90,Maharashtra
LDSMFG_100306,410904,30-60,Karnataka
LDSMFG_100307,292486,30-60,Delhi
LDSMFG_100308,173229,90-180,Karnataka
LDSMFG_100309,466079,30-60,Delhi
LDSMFG_100310,373452,60-90,UP
LDSMFG_100311,450299,60-90,Karnataka
LDSMFG_100312,111081,30-60,Delhi
LDSMFG_100313,463949,30-60,UP
LDSMFG_100314,94045,90-180,Tamil Nadu
LDSMFG_100315,39698,180+,UP
LDSMFG_100316,115078,30-60,Tamil Nadu
LDSMFG_100317,347767,30-60,UP
LDSMFG_100318,27671,30-60,Tamil Nadu
LDSMFG_100319,423400,90-180,Maharashtra
LDSMFG_100320,360528,60-90,Karnataka
LDSMFG_100321,440323,30-60,Maharashtra
LDSMFG_100322,91202,30-60,Karnataka
LDSMFG_100323,56663,90-180,Tamil Nadu
LDSMFG_100324,20708,60-90,Karnataka
LDSMFG_100325,359050,90-180,Tamil Nadu
LDSMFG_100326,316955,30-60,Delhi
LDSMFG_100327,138883,90-180,Tamil Nadu
LDSMFG_100328,323394,60-90,Delhi
LDSMFG_100329,117547,60-90,Delhi
LDSMFG_100330,470298,60-90,Karnataka
LDSMFG_100331,391393,60-90,UP
LDSMFG_100332,39754,60-90,Maharashtra
LDSMFG_100333,231814,30-60,UP
LDSMFG_100334,242714,180+,UP
LDSMFG_100335,147483,180+,UP
LDSMFG_100336,138983,60-90,Maharashtra
LDSMFG_100337,465486,30-60,Tamil Nadu
LDSMFG_100338,219835,30-60,Karnataka
LDSMFG_100339,406896,90-180,Tamil Nadu
LDSMFG_100340,89896,180+,Karnataka
LDSMFG_100341,482095,30-60,Delhi
LDSMFG_100342,76295,90-180,UP
LDSMFG_100343,224686,60-90,Karnataka
LDSMFG_100344,367833,30-60,UP
LDSMFG_100345,278255,60-90,Delhi
LDSMFG_100346,304648,60-90,Karnataka
LDSMFG_100347,137874,30-60,Maharashtra
LDSMFG_100348,13155,30-60,UP
LDSMFG_100349,471872,30-60,Tamil Nadu
LDSMFG_100350,306528,180+,Delhi
LDSMFG_100351,379705,60-90,Karnataka
LDSMFG_100352,52254,60-90,UP
LDSMFG_100353,289062,90-180,Tamil Nadu
LDSMFG_100354,90981,180+,Karnataka
LDSMFG_100355,458929,30-60,UP
LDSMFG_100356,35306,30-60,Maharashtra
LDSMFG_100357,152718,30-60,Karnataka
LDSMFG_100358,313987,180+,UP
LDSMFG_100359,125975,60-90,UP
LDSMFG_100360,363745,90-180,Karnataka
LDSMFG_100361,488951,30-60,Delhi
LDSMFG_100362,112512,60-90,UP
LDSMFG_100363,152443,30-60,Tamil Nadu
LDSMFG_100364,475587,60-90,Maharashtra
LDSMFG_100365,378616,30-60,Delhi
LDSMFG_100366,138121,60-90,Tamil Nadu
LDSMFG_100367,167688,90-180,Tamil Nadu
LDSMFG_100368,370871,180+,Delhi
LDSMFG_100369,380037,30-60,Tamil Nadu
LDSMFG_100370,288076,90-180,Tamil Nadu
LDSMFG_100371,122796,90-180,Tamil Nadu
LDSMFG_100372,296999,30-60,Tamil Nadu
LDSMFG_100373,197506,60-90,Maharashtra
LDSMFG_100374,470910,60-90,Delhi
LDSMFG_100375,179088,30-60,UP
LDSMFG_100376,274544,30-60,Maharashtra
LDSMFG_100377,385002,30-60,Delhi
LDSMFG_100378,178714,60-90,Delhi
LDSMFG_100379,20151,30-60,Maharashtra
LDSMFG_100380,449623,30-60,Maharashtra
LDSMFG_100381,71690,90-180,Karnataka
LDSMFG_100382,9499,30-60,Tamil Nadu
LDSMFG_100383,11295,30-60,Tamil Nadu
LDSMFG_100384,388029,30-60,Maharashtra
LDSMFG_100385,393215,180+,Karnataka
LDSMFG_100386,326184,30-60,Karnataka
LDSMFG_100387,279327,30-60,Delhi
LDSMFG_100388,427515,30-60,Maharashtra
LDSMFG_100389,148946,30-60,Tamil Nadu
LDSMFG_100390,383480,60-90,Tamil Nadu
LDSMFG_100391,37711,180+,Maharashtra
LDSMFG_100392,272683,60-90,Maharashtra
LDSMFG_100393,189423,60-90,Delhi
LDSMFG_100394,459483,30-60,Karnataka
LDSMFG_100395,184426,30-60,Karnataka
LDSMFG_100396,393207,30-60,Tamil Nadu
LDSMFG_100397,138629,90-180,UP
LDSMFG_100398,305504,60-90,UP
LDSMFG_100399,218090,30-60,Tamil Nadu
LDSMFG_100400,138272,30-60,Maharashtra
LDSMFG_100401,248548,30-60,Delhi
LDSMFG_100402,466713,90-180,UP
LDSMFG_100403,183047,60-90,UP
LDSMFG_100404,288501,90-180,Karnataka
LDSMFG_100405,124121,60-90,Maharashtra
LDSMFG_100406,82505,30-60,Karnataka
LDSMFG_100407,7869,180+,Tamil Nadu
LDSMFG_100408,262186,30-60,Karnataka
LDSMFG_100409,459351,30-60,Tamil Nadu
LDSMFG_100410,317252,90-180,Karnataka
LDSMFG_100411,117296,30-60,Maharashtra
LDSMFG_100412,99179,60-90,Karnataka
LDSMFG_100413,95272,90-180,Karnataka
LDSMFG_100414,43467,60-90,Maharashtra
LDSMFG_100415,290472,30-60,Tamil Nadu
LDSMFG_100416,358556,60-90,Karnataka
LDSMFG_100417,485047,90-180,UP
LDSMFG_100418,140059,60-90,Maharashtra
LDSMFG_100419,63871,60-90,Tamil Nadu
LDSMFG_100420,420615,180+,UP
LDSMFG_100421,133391,180+,Delhi
LDSMFG_100422,444430,60-90,Tamil Nadu
LDSMFG_100423,497738,30-60,Karnataka
LDSMFG_100424,91416,90-180,Maharashtra
LDSMFG_100425,337415,30-60,Maharashtra
LDSMFG_100426,311208,60-90,UP
LDSMFG_100427,261687,30-60,UP
LDSMFG_100428,206163,90-180,Delhi
LDSMFG_100429,112450,30-60,UP
LDSMFG_100430,176890,180+,UP
LDSMFG_100431,443741,30-60,Maharashtra
LDSMFG_100432,286974,30-60,Tamil Nadu
LDSMFG_100433,415645,90-180,Delhi
LDSMFG_100434,405109,60-90,Karnataka
LDSMFG_100435,121381,60-90,Maharashtra
LDSMFG_100436,478125,180+,UP
LDSMFG_100437,52333,60-90,Karnataka
LDSMFG_100438,139508,60-90,Delhi
LDSMFG_100439,210362,30-60,Maharashtra
LDSMFG_100440,343357,60-90,Karnataka
LDSMFG_100441,404111,30-60,Karnataka
LDSMFG_100442,155810,60-90,UP
LDSMFG_100443,297890,90-180,Karnataka
LDSMFG_100444,54377,60-90,Karnataka
LDSMFG_100445,446620,180+,Delhi
LDSMFG_100446,321189,90-180,Karnataka
LDSMFG_100447,365032,90-180,Maharashtra
LDSMFG_100448,438006,60-90,Karnataka
LDSMFG_100449,374599,60-90,UP
LDSMFG_100450,141672,30-60,Delhi
LDSMFG_100451,230732,30-60,Delhi
LDSMFG_100452,360323,30-60,Tamil Nadu
LDSMFG_100453,176836,180+,Karnataka
LDSMFG_100454,210615,30-60,UP
LDSMFG_100455,50714,90-180,Tamil Nadu
LDSMFG_100456,455051,60-90,Tamil Nadu
LDSMFG_100457,107946,60-90,UP
LDSMFG_100458,376760,60-90,Tamil Nadu
LDSMFG_100459,110983,30-60,Delhi
LDSMFG_100460,471960,90-180,UP
LDSMFG_100461,192563,180+,Tamil Nadu
LDSMFG_100462,129123,60-90,Delhi
LDSMFG_100463,416805,90-180,Tamil Nadu
LDSMFG_100464,310628,30-60,Maharashtra
LDSMFG_100465,87989,30-60,Tamil Nadu
LDSMFG_100466,303356,60-90,Tamil Nadu
LDSMFG_100467,310669,90-180,UP
LDSMFG_100468,183274,30-60,Maharashtra
LDSMFG_100469,168707,60-90,Delhi
LDSMFG_100470,330352,30-60,UP
LDSMFG_100471,300972,180+,Delhi
LDSMFG_100472,416927,90-180,Delhi
LDSMFG_100473,270564,30-60,Maharashtra
LDSMFG_100474,363896,180+,Delhi
LDSMFG_100475,136373,30-60,Delhi
LDSMFG_100476,443452,60-90,Delhi
LDSMFG_100477,120294,30-60,Karnataka
LDSMFG_100478,464451,30-60,Karnataka
LDSMFG_100479,452456,30-60,Karnataka
LDSMFG_100480,129019,30-60,Tamil Nadu
LDSMFG_100481,70726,180+,Delhi
LDSMFG_100482,146564,60-90,UP
LDSMFG_100483,382812,30-60,Tamil Nadu
LDSMFG_100484,499495,60-90,UP
LDSMFG_100485,273246,60-90,Karnataka
LDSMFG_100486,186408,180+,Delhi
LDSMFG_100487,123015,60-90,Tamil Nadu
LDSMFG_100488,221386,90-180,Karnataka
LDSMFG_100489,259079,30-60,Maharashtra
LDSMFG_100490,31641,30-60,Maharashtra
LDSMFG_100491,170656,60-90,Karnataka
LDSMFG_100492,168817,60-90,Delhi
LDSMFG_100493,421309,60-90,Tamil Nadu
LDSMFG_100494,464321,60-90,Maharashtra
LDSMFG_100495,370890,60-90,Maharashtra
LDSMFG_100496,498415,180+,Tamil Nadu
LDSMFG_100497,450101,180+,UP
LDSMFG_100498,41631,60-90,Maharashtra
LDSMFG_100499,247289,60-90,Delhi
LDSMFG_100500,77991,60-90,Karnataka
LDSMFG_100501,9014,30-60,Tamil Nadu
LDSMFG_100502,278237,180+,Karnataka
LDSMFG_100503,23070,30-60,Delhi
LDSMFG_100504,302921,60-90,Delhi
LDSMFG_100505,61958,30-60,Karnataka
LDSMFG_100506,87074,90-180,Delhi
LDSMFG_100507,15729,30-60,Karnataka
LDSMFG_100508,235785,90-180,Tamil Nadu
LDSMFG_100509,181089,30-60,Tamil Nadu
LDSMFG_100510,202392,180+,Maharashtra
LDSMFG_100511,163823,180+,Tamil Nadu
LDSMFG_100512,110864,90-180,Karnataka
LDSMFG_100513,398002,60-90,UP
LDSMFG_100514,214141,30-60,Karnataka
LDSMFG_100515,372654,180+,Tamil Nadu
LDSMFG_100516,59748,90-180,Delhi
LDSMFG_100517,10801,30-60,Karnataka
LDSMFG_100518,155262,60-90,Delhi
LDSMFG_100519,447905,30-60,UP
LDSMFG_100520,240362,60-90,Tamil Nadu
LDSMFG_100521,449209,30-60,UP
LDSMFG_100522,34592,60-90,Karnataka
LDSMFG_100523,277791,60-90,Tamil Nadu
LDSMFG_100524,144788,30-60,Delhi
LDSMFG_100525,224963,180+,UP
LDSMFG_100526,485761,90-180,Maharashtra
LDSMFG_100527,253710,60-90,Karnataka
LDSMFG_100528,225984,180+,Tamil Nadu
LDSMFG_100529,377771,90-180,UP
LDSMFG_100530,337460,60-90,Karnataka
LDSMFG_100531,263067,30-60,Delhi
LDSMFG_100532,269512,60-90,Maharashtra
LDSMFG_100533,82575,90-180,Delhi
LDSMFG_100534,273799,60-90,UP
LDSMFG_100535,242549,60-90,Tamil Nadu
LDSMFG_100536,75031,180+,Maharashtra
LDSMFG_100537,474645,30-60,Karnataka
LDSMFG_100538,489299,30-60,Karnataka
LDSMFG_100539,92922,90-180,Maharashtra
LDSMFG_100540,453982,30-60,UP
LDSMFG_100541,129046,30-60,Tamil Nadu
LDSMFG_100542,411619,180+,Delhi
LDSMFG_100543,37097,60-90,Tamil Nadu
LDSMFG_100544,476873,60-90,Maharashtra
LDSMFG_100545,147038,60-90,UP
LDSMFG_100546,129862,30-60,Tamil Nadu
LDSMFG_100547,235229,60-90,Karnataka
LDSMFG_100548,123834,60-90,Delhi
LDSMFG_100549,98848,30-60,Delhi
LDSMFG_100550,57921,90-180,UP
LDSMFG_100551,185798,30-60,Delhi
LDSMFG_100552,131141,30-60,Maharashtra
LDSMFG_100553,186372,30-60,Karnataka
LDSMFG_100554,289821,60-90,Karnataka
LDSMFG_100555,60609,180+,Karnataka
LDSMFG_100556,232897,60-90,Karnataka
LDSMFG_100557,454877,30-60,Karnataka
LDSMFG_100558,36024,30-60,Karnataka
LDSMFG_100559,75313,60-90,Delhi
LDSMFG_100560,394957,30-60,Tamil Nadu
LDSMFG_100561,189078,30-60,UP
LDSMFG_100562,362429,90-180,Karnataka
LDSMFG_100563,413554,90-180,UP
LDSMFG_100564,466243,90-180,Karnataka
LDSMFG_100565,490988,90-180,Maharashtra
LDSMFG_100566,118632,30-60,Delhi
LDSMFG_100567,478351,90-180,UP
LDSMFG_100568,417724,60-90,Karnataka
LDSMFG_100569,256451,30-60,UP
LDSMFG_100570,8051,60-90,Delhi
LDSMFG_100571,184819,30-60,Maharashtra
LDSMFG_100572,381836,30-60,Delhi
LDSMFG_100573,485358,30-60,UP
LDSMFG_100574,92235,180+,Delhi
LDSMFG_100575,452237,90-180,UP
LDSMFG_100576,202484,60-90,UP
LDSMFG_100577,194407,30-60,Karnataka
LDSMFG_100578,454395,30-60,Karnataka
LDSMFG_100579,430309,60-90,Delhi
LDSMFG_100580,467894,60-90,UP
LDSMFG_100581,216810,90-180,Karnataka
LDSMFG_100582,437950,30-60,Tamil Nadu
LDSMFG_100583,208687,60-90,Karnataka
LDSMFG_100584,78523,180+,Karnataka
LDSMFG_100585,241175,30-60,UP
LDSMFG_100586,99476,60-90,Tamil Nadu
LDSMFG_100587,238841,30-60,Tamil Nadu
LDSMFG_100588,284163,30-60,Tamil Nadu
LDSMFG_100589,350757,90-180,Tamil Nadu
LDSMFG_100590,227866,60-90,Karnataka
LDSMFG_100591,91672,60-90,Delhi
LDSMFG_100592,78847,30-60,Delhi
LDSMFG_100593,349894,90-180,Karnataka
LDSMFG_100594,215706,30-60,Maharashtra
LDSMFG_100595,33251,30-60,Maharashtra
LDSMFG_100596,108481,180+,Tamil Nadu
LDSMFG_100597,379710,90-180,Delhi
LDSMFG_100598,30945,90-180,Tamil Nadu
LDSMFG_100599,357996,60-90,Tamil Nadu
LDSMFG_100600,37217,30-60,UP
LDSMFG_100601,13308,180+,Tamil Nadu
LDSMFG_100602,273093,60-90,Karnataka
LDSMFG_100603,188062,30-60,Tamil Nadu
LDSMFG_100604,399366,30-60,Delhi
LDSMFG_100605,225552,30-60,Karnataka
LDSMFG_100606,105235,30-60,Karnataka
LDSMFG_100607,79740,30-60,UP
LDSMFG_100608,383496,30-60,Karnataka
