lead_code,sent_at,status,response_message,read_at
LDSMFG_114733,2025-01-29,READ,,2025-01-29 19:00:00
LDSMFG_195590,2025-01-03,READ,,2025-01-03 11:00:00
LDSMFG_197308,2025-01-24,FAILED,,
LDSMFG_101702,2025-01-29,DELIVERED,,
LDSMFG_122703,2025-01-11,READ,,2025-01-11 01:00:00
LDSMFG_188300,2025-01-29,DELIVERED,,
LDSMFG_167651,2025-01-26,READ,,2025-01-26 12:00:00
LDSMFG_163200,2025-01-04,DELIVERED,,
LDSMFG_130659,2025-01-28,DELIVERED,,
LDSMFG_111410,2025-01-01,READ,,2025-01-01 02:00:00
LDSMFG_140795,2025-01-28,DELIVERED,,
LDSMFG_175047,2025-01-21,DELIVERED,,
LDSMFG_125891,2025-01-30,DELIVERED,,
LDSMFG_143409,2025-01-26,FAILED,Pay link?,
LDSMFG_162564,2025-01-26,READ,,2025-01-26 07:00:00
LDSMFG_159741,2025-01-03,DELIVERED,,
LDSMFG_109396,2025-01-07,DELIVERED,,
LDSMFG_162154,2025-01-05,FAILED,,
LDSMFG_190567,2025-01-27,DELIVERED,,
LDSMFG_126814,2025-01-09,DELIVERED,,
LDSMFG_197915,2025-01-19,DELIVERED,,
LDSMFG_145934,2025-01-29,DELIVERED,,
LDSMFG_105754,2025-01-20,READ,,2025-01-20 09:00:00
LDSMFG_118176,2025-01-07,READ,,2025-01-07 21:00:00
LDSMFG_140790,2025-01-20,READ,,2025-01-20 04:00:00
LDSMFG_152894,2025-01-01,DELIVERED,,
LDSMFG_137356,2025-01-08,READ,,2025-01-08 15:00:00
LDSMFG_159880,2025-01-01,DELIVERED,,
LDSMFG_139089,2025-01-12,READ,,2025-01-12 23:00:00
LDSMFG_128197,2025-01-06,READ,,2025-01-06 03:00:00
LDSMFG_108877,2025-01-26,READ,,2025-01-26 22:00:00
LDSMFG_107425,2025-01-18,READ,,2025-01-18 22:00:00
LDSMFG_121195,2025-01-07,FAILED,,
LDSMFG_126743,2025-01-01,DELIVERED,,
LDSMFG_100801,2025-01-12,DELIVERED,,
LDSMFG_177178,2025-01-01,READ,Pay link?,2025-01-01 21:00:00
LDSMFG_125210,2025-01-13,READ,,2025-01-13 03:00:00
LDSMFG_108050,2025-01-10,DELIVERED,,
LDSMFG_136908,2025-01-17,FAILED,,
LDSMFG_171488,2025-01-24,READ,Pay link?,2025-01-24 06:00:00
LDSMFG_184325,2025-01-11,READ,,2025-01-11 22:00:00
LDSMFG_131346,2025-01-28,DELIVERED,,
LDSMFG_153726,2025-01-15,READ,,2025-01-15 09:00:00
LDSMFG_109152,2025-01-29,FAILED,,
LDSMFG_183971,2025-01-22,READ,,2025-01-22 18:00:00
LDSMFG_119921,2025-01-27,READ,,2025-01-27 06:00:00
LDSMFG_164980,2025-01-04,DELIVERED,,
LDSMFG_149258,2025-01-10,DELIVERED,,
LDSMFG_172761,2025-01-24,DELIVERED,,
LDSMFG_137059,2025-01-02,READ,,2025-01-02 23:00:00
LDSMFG_164708,2025-01-30,READ,,2025-01-30 21:00:00
LDSMFG_114850,2025-01-23,READ,,2025-01-23 17:00:00
LDSMFG_172201,2025-01-29,READ,,2025-01-29 01:00:00
LDSMFG_114451,2025-01-11,READ,,2025-01-11 20:00:00
LDSMFG_176398,2025-01-28,READ,,2025-01-28 21:00:00
LDSMFG_134174,2025-01-28,DELIVERED,,
LDSMFG_197323,2025-01-17,DELIVERED,,
LDSMFG_168700,2025-01-23,READ,,2025-01-23 21:00:00
LDSMFG_199647,2025-01-28,FAILED,,
LDSMFG_113408,2025-01-02,DELIVERED,,
LDSMFG_191666,2025-01-24,DELIVERED,,
LDSMFG_190004,2025-01-19,READ,,2025-01-19 19:00:00
LDSMFG_173267,2025-01-24,READ,,2025-01-24 06:00:00
LDSMFG_110982,2025-01-07,DELIVERED,,
LDSMFG_182066,2025-01-26,READ,,2025-01-26 08:00:00
LDSMFG_145550,2025-01-02,DELIVERED,,
LDSMFG_144498,2025-01-21,READ,,2025-01-21 15:00:00
LDSMFG_114128,2025-01-01,READ,,2025-01-01 22:00:00
LDSMFG_188445,2025-01-30,READ,,2025-01-30 11:00:00
LDSMFG_103660,2025-01-03,DELIVERED,,
LDSMFG_131973,2025-01-26,DELIVERED,,
LDSMFG_188127,2025-01-25,READ,,2025-01-25 03:00:00
LDSMFG_147452,2025-01-13,READ,Pay link?,2025-01-13 09:00:00
LDSMFG_165739,2025-01-13,FAILED,,
LDSMFG_177325,2025-01-18,READ,,2025-01-18 03:00:00
LDSMFG_113699,2025-01-14,DELIVERED,,
LDSMFG_198429,2025-01-28,READ,,2025-01-28 01:00:00
LDSMFG_149037,2025-01-25,FAILED,,
LDSMFG_127320,2025-01-13,DELIVERED,,
LDSMFG_129378,2025-01-18,READ,,2025-01-18 13:00:00
LDSMFG_125971,2025-01-28,DELIVERED,Pay link?,
LDSMFG_175501,2025-01-28,DELIVERED,,
LDSMFG_134132,2025-01-11,READ,,2025-01-11 20:00:00
LDSMFG_181291,2025-01-14,READ,,2025-01-14 13:00:00
LDSMFG_112182,2025-01-02,READ,Wrong number,2025-01-02 03:00:00
LDSMFG_135744,2025-01-14,READ,,2025-01-14 15:00:00
LDSMFG_125338,2025-01-15,READ,,2025-01-15 15:00:00
LDSMFG_183067,2025-01-10,DELIVERED,,
LDSMFG_169105,2025-01-07,READ,Wrong number,2025-01-07 08:00:00
LDSMFG_136882,2025-01-11,DELIVERED,,
LDSMFG_104264,2025-01-11,DELIVERED,,
LDSMFG_139395,2025-01-24,READ,,2025-01-24 11:00:00
LDSMFG_151457,2025-01-13,READ,,2025-01-13 18:00:00
LDSMFG_148363,2025-01-07,DELIVERED,,
LDSMFG_189501,2025-01-07,READ,,2025-01-07 12:00:00
LDSMFG_128638,2025-01-04,DELIVERED,,
LDSMFG_119283,2025-01-07,READ,Wrong number,2025-01-07 17:00:00
LDSMFG_137369,2025-01-12,READ,,2025-01-12 23:00:00
LDSMFG_160137,2025-01-07,DELIVERED,,
LDSMFG_139174,2025-01-08,DELIVERED,,
LDSMFG_174402,2025-01-19,DELIVERED,,
LDSMFG_114688,2025-01-04,READ,,2025-01-04 08:00:00
LDSMFG_116052,2025-01-24,DELIVERED,,
LDSMFG_185436,2025-01-30,FAILED,Pay link?,
LDSMFG_160184,2025-01-26,DELIVERED,,
LDSMFG_163356,2025-01-09,DELIVERED,,
LDSMFG_100383,2025-01-18,DELIVERED,,
LDSMFG_178287,2025-01-04,DELIVERED,,
LDSMFG_123670,2025-01-10,READ,,2025-01-10 04:00:00
LDSMFG_122642,2025-01-09,READ,,2025-01-09 22:00:00
LDSMFG_108925,2025-01-05,FAILED,,
LDSMFG_163692,2025-01-26,DELIVERED,,
LDSMFG_169808,2025-01-27,DELIVERED,,
LDSMFG_117899,2025-01-25,READ,,2025-01-25 08:00:00
LDSMFG_148998,2025-01-05,READ,,2025-01-05 01:00:00
LDSMFG_114037,2025-01-14,READ,,2025-01-14 15:00:00
LDSMFG_112683,2025-01-16,DELIVERED,,
LDSMFG_186982,2025-01-21,READ,,2025-01-21 13:00:00
LDSMFG_114758,2025-01-01,READ,,2025-01-01 09:00:00
LDSMFG_159167,2025-01-16,READ,,2025-01-16 05:00:00
LDSMFG_171686,2025-01-15,DELIVERED,,
LDSMFG_146578,2025-01-20,DELIVERED,,
LDSMFG_105522,2025-01-25,DELIVERED,,
LDSMFG_156460,2025-01-07,FAILED,Wrong number,
LDSMFG_101175,2025-01-09,FAILED,,
LDSMFG_186425,2025-01-16,DELIVERED,,
LDSMFG_182351,2025-01-21,DELIVERED,Wrong number,
LDSMFG_166126,2025-01-30,READ,,2025-01-30 19:00:00
LDSMFG_110798,2025-01-03,READ,,2025-01-03 01:00:00
LDSMFG_181676,2025-01-27,DELIVERED,,
LDSMFG_100129,2025-01-29,READ,,2025-01-29 15:00:00
LDSMFG_193929,2025-01-19,DELIVERED,,
LDSMFG_144591,2025-01-18,READ,,2025-01-18 08:00:00
LDSMFG_113798,2025-01-25,DELIVERED,,
LDSMFG_164134,2025-01-23,READ,,2025-01-23 14:00:00
LDSMFG_143982,2025-01-22,READ,,2025-01-22 08:00:00
LDSMFG_117486,2025-01-02,READ,,2025-01-02 22:00:00
LDSMFG_153193,2025-01-15,DELIVERED,,
LDSMFG_165587,2025-01-09,READ,,2025-01-09 06:00:00
LDSMFG_131343,2025-01-01,DELIVERED,,
LDSMFG_186190,2025-01-08,READ,,2025-01-08 14:00:00
LDSMFG_139643,2025-01-15,READ,,2025-01-15 17:00:00
LDSMFG_177367,2025-01-07,READ,,2025-01-07 08:00:00
LDSMFG_148367,2025-01-02,READ,Wrong number,2025-01-02 05:00:00
LDSMFG_139052,2025-01-18,DELIVERED,,
LDSMFG_132191,2025-01-23,READ,,2025-01-23 14:00:00
LDSMFG_144820,2025-01-18,FAILED,,
LDSMFG_130905,2025-01-24,DELIVERED,,
LDSMFG_168330,2025-01-29,DELIVERED,,
LDSMFG_191781,2025-01-17,READ,,2025-01-17 03:00:00
LDSMFG_129574,2025-01-10,DELIVERED,,
LDSMFG_141366,2025-01-10,DELIVERED,,
LDSMFG_176406,2025-01-15,DELIVERED,,
LDSMFG_140614,2025-01-27,FAILED,,
LDSMFG_179665,2025-01-13,READ,,2025-01-13 11:00:00
LDSMFG_116706,2025-01-10,READ,Pay link?,2025-01-10 10:00:00
LDSMFG_136019,2025-01-26,FAILED,,
LDSMFG_162577,2025-01-04,DELIVERED,,
LDSMFG_134893,2025-01-06,READ,,2025-01-06 19:00:00
LDSMFG_193513,2025-01-24,DELIVERED,Wrong number,
LDSMFG_182110,2025-01-03,READ,,2025-01-03 14:00:00
LDSMFG_176285,2025-01-30,FAILED,,
LDSMFG_108636,2025-01-29,READ,,2025-01-29 03:00:00
LDSMFG_179662,2025-01-14,READ,,2025-01-14 22:00:00
LDSMFG_145248,2025-01-16,READ,,2025-01-16 03:00:00
LDSMFG_143713,2025-01-12,READ,,2025-01-12 20:00:00
LDSMFG_104780,2025-01-14,READ,,2025-01-14 16:00:00
LDSMFG_131406,2025-01-21,DELIVERED,,
LDSMFG_130045,2025-01-13,READ,Wrong number,2025-01-13 03:00:00
LDSMFG_105809,2025-01-02,READ,,2025-01-02 08:00:00
LDSMFG_159217,2025-01-27,FAILED,Pay link?,
LDSMFG_199215,2025-01-05,DELIVERED,,
LDSMFG_110122,2025-01-17,FAILED,,
LDSMFG_128253,2025-01-28,DELIVERED,,
LDSMFG_117618,2025-01-02,READ,,2025-01-02 17:00:00
LDSMFG_197340,2025-01-28,FAILED,,
LDSMFG_197498,2025-01-09,READ,Wrong number,2025-01-09 08:00:00
LDSMFG_112496,2025-01-16,READ,,2025-01-16 11:00:00
LDSMFG_124962,2025-01-23,READ,,2025-01-23 03:00:00
LDSMFG_152205,2025-01-19,READ,,2025-01-19 22:00:00
LDSMFG_141523,2025-01-22,READ,Wrong number,2025-01-22 23:00:00
LDSMFG_111903,2025-01-06,DELIVERED,,
LDSMFG_155869,2025-01-04,DELIVERED,Wrong number,
LDSMFG_158999,2025-01-01,READ,,2025-01-01 22:00:00
LDSMFG_169204,2025-01-30,READ,Pay link?,2025-01-30 03:00:00
LDSMFG_174348,2025-01-24,READ,,2025-01-24 20:00:00
LDSMFG_168378,2025-01-11,DELIVERED,,
LDSMFG_102641,2025-01-01,READ,,2025-01-01 23:00:00
LDSMFG_146418,2025-01-20,READ,,2025-01-20 13:00:00
LDSMFG_171225,2025-01-21,DELIVERED,,
LDSMFG_198777,2025-01-05,READ,,2025-01-05 14:00:00
LDSMFG_124324,2025-01-09,DELIVERED,,
LDSMFG_119418,2025-01-29,READ,,2025-01-29 13:00:00
LDSMFG_176303,2025-01-21,DELIVERED,Pay link?,
LDSMFG_195615,2025-01-25,READ,,2025-01-25 04:00:00
LDSMFG_123895,2025-01-11,FAILED,,
LDSMFG_175584,2025-01-15,READ,,2025-01-15 11:00:00
LDSMFG_141059,2025-01-14,READ,,2025-01-14 18:00:00
LDSMFG_157075,2025-01-07,READ,,2025-01-07 06:00:00
LDSMFG_132867,2025-01-04,DELIVERED,,
LDSMFG_103813,2025-01-30,DELIVERED,,
LDSMFG_102909,2025-01-12,READ,,2025-01-12 21:00:00
LDSMFG_124691,2025-01-19,READ,,2025-01-19 12:00:00
LDSMFG_195790,2025-01-30,READ,,2025-01-30 23:00:00
LDSMFG_159454,2025-01-13,READ,,2025-01-13 04:00:00
LDSMFG_146802,2025-01-24,READ,,2025-01-24 11:00:00
LDSMFG_133957,2025-01-07,DELIVERED,,
LDSMFG_122087,2025-01-03,READ,,2025-01-03 09:00:00
LDSMFG_155569,2025-01-30,DELIVERED,,
LDSMFG_105033,2025-01-17,DELIVERED,,
LDSMFG_141766,2025-01-17,READ,,2025-01-17 23:00:00
LDSMFG_189997,2025-01-28,READ,,2025-01-28 02:00:00
LDSMFG_193713,2025-01-14,READ,,2025-01-14 18:00:00
LDSMFG_177286,2025-01-29,DELIVERED,,
LDSMFG_102175,2025-01-04,READ,,2025-01-04 07:00:00
LDSMFG_166520,2025-01-06,DELIVERED,,
LDSMFG_190119,2025-01-09,READ,,2025-01-09 06:00:00
LDSMFG_198278,2025-01-18,DELIVERED,,
LDSMFG_161647,2025-01-04,DELIVERED,,
LDSMFG_122126,2025-01-20,DELIVERED,,
LDSMFG_173156,2025-01-26,DELIVERED,Pay link?,
LDSMFG_163058,2025-01-19,READ,,2025-01-19 09:00:00
LDSMFG_152071,2025-01-28,DELIVERED,,
LDSMFG_144242,2025-01-18,READ,,2025-01-18 21:00:00
LDSMFG_199372,2025-01-07,READ,Pay link?,2025-01-07 17:00:00
LDSMFG_182471,2025-01-14,READ,,2025-01-14 06:00:00
LDSMFG_197287,2025-01-03,DELIVERED,,
LDSMFG_133639,2025-01-11,DELIVERED,,
LDSMFG_180281,2025-01-27,READ,,2025-01-27 05:00:00
LDSMFG_151196,2025-01-23,DELIVERED,,
LDSMFG_128698,2025-01-03,READ,,2025-01-03 19:00:00
LDSMFG_152844,2025-01-16,DELIVERED,,
LDSMFG_197827,2025-01-07,READ,,2025-01-07 02:00:00
LDSMFG_175729,2025-01-04,DELIVERED,,
LDSMFG_105334,2025-01-14,READ,Pay link?,2025-01-14 11:00:00
LDSMFG_193489,2025-01-04,DELIVERED,,
LDSMFG_132535,2025-01-10,READ,,2025-01-10 18:00:00
LDSMFG_140755,2025-01-27,DELIVERED,,
LDSMFG_128749,2025-01-15,FAILED,,
LDSMFG_104963,2025-01-26,READ,,2025-01-26 07:00:00
LDSMFG_199609,2025-01-29,READ,,2025-01-29 09:00:00
LDSMFG_104241,2025-01-09,READ,,2025-01-09 09:00:00
LDSMFG_174203,2025-01-08,READ,,2025-01-08 22:00:00
LDSMFG_176871,2025-01-21,DELIVERED,,
LDSMFG_163568,2025-01-21,DELIVERED,,
LDSMFG_175164,2025-01-08,READ,,2025-01-08 04:00:00
LDSMFG_142420,2025-01-10,READ,,2025-01-10 23:00:00
LDSMFG_197642,2025-01-07,DELIVERED,,
LDSMFG_185164,2025-01-18,DELIVERED,,
LDSMFG_183310,2025-01-16,DELIVERED,Wrong number,
LDSMFG_155045,2025-01-23,READ,,2025-01-23 02:00:00
LDSMFG_175556,2025-01-07,READ,Wrong number,2025-01-07 23:00:00
LDSMFG_132934,2025-01-19,READ,,2025-01-19 04:00:00
LDSMFG_144034,2025-01-10,FAILED,,
LDSMFG_197256,2025-01-14,READ,,2025-01-14 20:00:00
LDSMFG_199485,2025-01-17,READ,,2025-01-17 06:00:00
LDSMFG_167088,2025-01-11,DELIVERED,,
LDSMFG_120266,2025-01-23,READ,Wrong number,2025-01-23 11:00:00
LDSMFG_104074,2025-01-06,FAILED,,
LDSMFG_103333,2025-01-23,DELIVERED,,
LDSMFG_113818,2025-01-17,READ,,2025-01-17 08:00:00
LDSMFG_180251,2025-01-23,READ,,2025-01-23 10:00:00
LDSMFG_184453,2025-01-24,READ,,2025-01-24 07:00:00
LDSMFG_146066,2025-01-13,DELIVERED,,
LDSMFG_180546,2025-01-26,READ,,2025-01-26 02:00:00
LDSMFG_178708,2025-01-09,DELIVERED,,
LDSMFG_118008,2025-01-30,READ,,2025-01-30 19:00:00
LDSMFG_176693,2025-01-12,DELIVERED,,
LDSMFG_185608,2025-01-10,DELIVERED,,
LDSMFG_119043,2025-01-02,READ,,2025-01-02 14:00:00
LDSMFG_129876,2025-01-20,READ,,2025-01-20 05:00:00
LDSMFG_158985,2025-01-09,READ,,2025-01-09 03:00:00
LDSMFG_112572,2025-01-29,DELIVERED,,
LDSMFG_152839,2025-01-12,READ,,2025-01-12 17:00:00
LDSMFG_107506,2025-01-29,READ,,2025-01-29 02:00:00
LDSMFG_165953,2025-01-11,DELIVERED,,
LDSMFG_142111,2025-01-23,READ,,2025-01-23 03:00:00
LDSMFG_155804,2025-01-23,READ,,2025-01-23 22:00:00
LDSMFG_105563,2025-01-11,DELIVERED,,
LDSMFG_158093,2025-01-24,READ,,2025-01-24 01:00:00
LDSMFG_140275,2025-01-10,READ,,2025-01-10 09:00:00
LDSMFG_122905,2025-01-25,DELIVERED,,
LDSMFG_128948,2025-01-16,READ,,2025-01-16 17:00:00
LDSMFG_183694,2025-01-26,READ,,2025-01-26 16:00:00
LDSMFG_162771,2025-01-21,READ,,2025-01-21 22:00:00
LDSMFG_124894,2025-01-28,DELIVERED,,
LDSMFG_157589,2025-01-26,DELIVERED,,
LDSMFG_107210,2025-01-14,READ,,2025-01-14 14:00:00
LDSMFG_139685,2025-01-18,READ,,2025-01-18 21:00:00
LDSMFG_157258,2025-01-14,READ,,2025-01-14 23:00:00
LDSMFG_152772,2025-01-04,DELIVERED,,
LDSMFG_106839,2025-01-29,FAILED,,
LDSMFG_179466,2025-01-25,DELIVERED,,
LDSMFG_193528,2025-01-01,READ,Pay link?,2025-01-01 10:00:00
LDSMFG_177867,2025-01-15,READ,,2025-01-15 10:00:00
LDSMFG_140112,2025-01-01,READ,,2025-01-01 03:00:00
LDSMFG_149357,2025-01-09,READ,,2025-01-09 03:00:00
LDSMFG_123919,2025-01-09,READ,,2025-01-09 07:00:00
LDSMFG_152433,2025-01-26,DELIVERED,Wrong number,
LDSMFG_134726,2025-01-16,READ,,2025-01-16 10:00:00
LDSMFG_133424,2025-01-20,READ,,2025-01-20 09:00:00
LDSMFG_160304,2025-01-29,READ,,2025-01-29 02:00:00
LDSMFG_134169,2025-01-23,READ,,2025-01-23 11:00:00
LDSMFG_145427,2025-01-24,DELIVERED,,
LDSMFG_134885,2025-01-09,DELIVERED,,
LDSMFG_190503,2025-01-03,FAILED,,
LDSMFG_199482,2025-01-09,READ,,2025-01-09 10:00:00
LDSMFG_142401,2025-01-13,READ,,2025-01-13 16:00:00
LDSMFG_184520,2025-01-26,READ,,2025-01-26 19:00:00
LDSMFG_141968,2025-01-10,READ,,2025-01-10 21:00:00
LDSMFG_198997,2025-01-13,DELIVERED,,
LDSMFG_107267,2025-01-11,DELIVERED,,
LDSMFG_190731,2025-01-29,READ,,2025-01-29 14:00:00
LDSMFG_194712,2025-01-01,READ,,2025-01-01 07:00:00
LDSMFG_161760,2025-01-01,DELIVERED,,
LDSMFG_199413,2025-01-09,DELIVERED,,
LDSMFG_199913,2025-01-27,DELIVERED,Pay link?,
LDSMFG_173252,2025-01-06,FAILED,,
LDSMFG_182673,2025-01-22,READ,,2025-01-22 02:00:00
LDSMFG_170389,2025-01-30,READ,,2025-01-30 05:00:00
LDSMFG_168771,2025-01-29,DELIVERED,,
LDSMFG_183337,2025-01-05,DELIVERED,,
LDSMFG_177712,2025-01-11,READ,,2025-01-11 08:00:00
LDSMFG_188427,2025-01-23,READ,,2025-01-23 16:00:00
LDSMFG_181374,2025-01-16,READ,,2025-01-16 20:00:00
LDSMFG_157115,2025-01-03,DELIVERED,,
LDSMFG_128003,2025-01-14,READ,,2025-01-14 07:00:00
LDSMFG_190621,2025-01-26,READ,,2025-01-26 22:00:00
LDSMFG_192193,2025-01-03,DELIVERED,,
LDSMFG_158386,2025-01-08,READ,Wrong number,2025-01-08 10:00:00
LDSMFG_163263,2025-01-30,FAILED,,
LDSMFG_172978,2025-01-28,DELIVERED,,
LDSMFG_114533,2025-01-14,DELIVERED,Pay link?,
LDSMFG_163182,2025-01-19,FAILED,,
LDSMFG_103703,2025-01-13,FAILED,Pay link?,
LDSMFG_177996,2025-01-16,READ,,2025-01-16 05:00:00
LDSMFG_127841,2025-01-05,DELIVERED,,
LDSMFG_196615,2025-01-14,READ,,2025-01-14 23:00:00
LDSMFG_162838,2025-01-20,DELIVERED,,
LDSMFG_114913,2025-01-26,FAILED,,
LDSMFG_160564,2025-01-14,DELIVERED,,
LDSMFG_152882,2025-01-02,READ,,2025-01-02 18:00:00
LDSMFG_158168,2025-01-01,DELIVERED,,
LDSMFG_151267,2025-01-26,FAILED,Wrong number,
LDSMFG_107470,2025-01-17,READ,,2025-01-17 22:00:00
LDSMFG_128355,2025-01-25,FAILED,Pay link?,
LDSMFG_174149,2025-01-09,READ,,2025-01-09 04:00:00
LDSMFG_186927,2025-01-08,READ,Wrong number,2025-01-08 04:00:00
LDSMFG_184617,2025-01-09,DELIVERED,,
LDSMFG_141807,2025-01-30,DELIVERED,,
LDSMFG_163873,2025-01-24,READ,,2025-01-24 06:00:00
LDSMFG_143010,2025-01-27,READ,,2025-01-27 16:00:00
LDSMFG_134060,2025-01-06,READ,,2025-01-06 05:00:00
LDSMFG_160112,2025-01-04,READ,,2025-01-04 18:00:00
LDSMFG_134373,2025-01-18,DELIVERED,,
LDSMFG_140390,2025-01-12,DELIVERED,,
LDSMFG_123261,2025-01-05,DELIVERED,,
LDSMFG_121939,2025-01-26,READ,,2025-01-26 06:00:00
LDSMFG_188951,2025-01-22,READ,,2025-01-22 02:00:00
LDSMFG_165579,2025-01-02,READ,,2025-01-02 14:00:00
LDSMFG_146704,2025-01-26,READ,,2025-01-26 18:00:00
LDSMFG_191151,2025-01-13,DELIVERED,,
LDSMFG_191702,2025-01-04,READ,,2025-01-04 07:00:00
LDSMFG_143871,2025-01-23,READ,Pay link?,2025-01-23 02:00:00
LDSMFG_101423,2025-01-11,READ,,2025-01-11 02:00:00
LDSMFG_112550,2025-01-15,DELIVERED,,
LDSMFG_173154,2025-01-21,FAILED,,
LDSMFG_156659,2025-01-15,READ,,2025-01-15 14:00:00
LDSMFG_135720,2025-01-04,DELIVERED,,
LDSMFG_159184,2025-01-15,DELIVERED,,
LDSMFG_165864,2025-01-16,DELIVERED,,
LDSMFG_166669,2025-01-24,READ,Pay link?,2025-01-24 23:00:00
LDSMFG_136282,2025-01-19,FAILED,,
LDSMFG_177709,2025-01-24,READ,,2025-01-24 05:00:00
LDSMFG_173018,2025-01-12,DELIVERED,,
LDSMFG_152989,2025-01-16,DELIVERED,,
LDSMFG_183466,2025-01-05,READ,,2025-01-05 12:00:00
LDSMFG_109501,2025-01-29,READ,,2025-01-29 23:00:00
LDSMFG_181481,2025-01-12,READ,Pay link?,2025-01-12 20:00:00
LDSMFG_114460,2025-01-22,DELIVERED,,
LDSMFG_175079,2025-01-06,READ,,2025-01-06 12:00:00
LDSMFG_141698,2025-01-20,DELIVERED,,
LDSMFG_143062,2025-01-26,READ,,2025-01-26 06:00:00
LDSMFG_125420,2025-01-16,FAILED,Wrong number,
LDSMFG_104872,2025-01-26,READ,Wrong number,2025-01-26 14:00:00
LDSMFG_111525,2025-01-24,READ,,2025-01-24 12:00:00
LDSMFG_101468,2025-01-22,DELIVERED,,
LDSMFG_179155,2025-01-19,DELIVERED,,
LDSMFG_123103,2025-01-14,DELIVERED,,
LDSMFG_127306,2025-01-22,READ,,2025-01-22 04:00:00
LDSMFG_127741,2025-01-09,DELIVERED,,
LDSMFG_163697,2025-01-05,READ,,2025-01-05 23:00:00
LDSMFG_109653,2025-01-06,READ,Wrong number,2025-01-06 10:00:00
LDSMFG_120291,2025-01-09,READ,,2025-01-09 23:00:00
LDSMFG_106984,2025-01-29,DELIVERED,,
LDSMFG_190086,2025-01-19,READ,Wrong number,2025-01-19 23:00:00
LDSMFG_193395,2025-01-23,READ,,2025-01-23 22:00:00
LDSMFG_177455,2025-01-18,FAILED,,
LDSMFG_117461,2025-01-08,READ,,2025-01-08 21:00:00
LDSMFG_176200,2025-01-26,DELIVERED,,
LDSMFG_182787,2025-01-04,READ,,2025-01-04 23:00:00
LDSMFG_109691,2025-01-26,FAILED,,
LDSMFG_113504,2025-01-24,FAILED,,
LDSMFG_124470,2025-01-05,DELIVERED,,
LDSMFG_146692,2025-01-08,DELIVERED,Wrong number,
LDSMFG_117628,2025-01-27,READ,,2025-01-27 08:00:00
LDSMFG_181460,2025-01-22,READ,,2025-01-22 04:00:00
LDSMFG_160603,2025-01-08,READ,,2025-01-08 06:00:00
LDSMFG_158000,2025-01-10,DELIVERED,,
LDSMFG_148297,2025-01-24,READ,,2025-01-24 10:00:00
LDSMFG_163874,2025-01-05,FAILED,,
LDSMFG_185490,2025-01-09,DELIVERED,,
LDSMFG_143752,2025-01-14,READ,,2025-01-14 01:00:00
LDSMFG_181268,2025-01-25,FAILED,,
LDSMFG_109272,2025-01-15,READ,,2025-01-15 04:00:00
LDSMFG_142364,2025-01-07,DELIVERED,,
LDSMFG_167307,2025-01-21,FAILED,,
LDSMFG_142807,2025-01-03,READ,Wrong number,2025-01-03 20:00:00
LDSMFG_138988,2025-01-24,READ,,2025-01-24 13:00:00
