id,lead_code,suggested_action,TARGET
258,LDSMFG_100257,ACTION_DIGITAL,0.72
259,LDSMFG_100258,ACTION_DIGITAL,0.35
260,LDSMFG_100259,ACTION_FIELD,0.73
261,LDSMFG_100260,ACTION_FIELD,0.54
262,LDSMFG_100261,ACTION_FIELD,0.36
263,LDSMFG_100262,ACTION_HUMAN_CALL,0.26
264,LDSMFG_100263,ACTION_BOT,0.38
265,LDSMFG_100264,ACTION_BOT,0.48
266,LDSMFG_100265,ACTION_BOT,0.47
267,LDSMFG_100266,ACTION_DIGITAL,0.52
268,LDSMFG_100267,ACTION_DIGITAL,0.69
269,LDSMFG_100268,ACTION_BOT,0.42
270,LDSMFG_100269,ACTION_DIGITAL,0.84
271,LDSMFG_100270,ACTION_HUMAN_CALL,0.82
272,LDSMFG_100271,ACTION_BOT,0.29
273,LDSMFG_100272,ACTION_DIGITAL,0.35
274,LDSMFG_100273,ACTION_FIELD,0.35
275,LDSMFG_100274,ACTION_HUMAN_CALL,0.36
276,LDSMFG_100275,ACTION_HUMAN_CALL,0.55
277,LDSMFG_100276,ACTION_BOT,0.62
278,LDSMFG_100277,ACTION_DIGITAL,0.87
279,LDSMFG_100278,ACTION_BOT,0.38
280,LDSMFG_100279,ACTION_HUMAN_CALL,0.57
281,LDSMFG_100280,ACTION_BOT,0.28
282,LDSMFG_100281,ACTION_FIELD,0.38
283,LDSMFG_100282,ACTION_BOT,0.32
284,LDSMFG_100283,ACTION_FIELD,0.54
285,LDSMFG_100284,ACTION_FIELD,0.49
286,LDSMFG_100285,ACTION_HUMAN_CALL,0.53
287,LDSMFG_100286,ACTION_BOT,0.43
288,LDSMFG_100287,ACTION_BOT,0.19
289,LDSMFG_100288,ACTION_BOT,0.74
290,LDSMFG_100289,ACTION_HUMAN_CALL,0.33
291,LDSMFG_100290,ACTION_FIELD,0.36
292,LDSMFG_100291,ACTION_BOT,0.11
293,LDSMFG_100292,ACTION_DIGITAL,0.46
294,LDSMFG_100293,ACTION_FIELD,0.36
295,LDSMFG_100294,ACTION_HUMAN_CALL,0.37
296,LDSMFG_100295,ACTION_HUMAN_CALL,0.17
297,LDSMFG_100296,ACTION_BOT,0.02
298,LDSMFG_100297,ACTION_BOT,0.57
299,LDSMFG_100298,ACTION_BOT,0.55
300,LDSMFG_100299,ACTION_BOT,0.5
301,LDSMFG_100300,ACTION_FIELD,0.35
302,LDSMFG_100301,ACTION_HUMAN_CALL,0.34
303,LDSMFG_100302,ACTION_FIELD,0.42
304,LDSMFG_100303,ACTION_DIGITAL,0.31
305,LDSMFG_100304,ACTION_FIELD,0.46
306,LDSMFG_100305,ACTION_DIGITAL,0.37
307,LDSMFG_100306,ACTION_FIELD,0.73
308,LDSMFG_100307,ACTION_HUMAN_CALL,0.42
309,LDSMFG_100308,ACTION_HUMAN_CALL,0.3
310,LDSMFG_100309,ACTION_BOT,0.35
311,LDSMFG_100310,ACTION_HUMAN_CALL,0.08
312,LDSMFG_100311,ACTION_BOT,0.5
313,LDSMFG_100312,ACTION_DIGITAL,0.58
314,LDSMFG_100313,ACTION_FIELD,0.41
315,LDSMFG_100314,ACTION_HUMAN_CALL,0.68
316,LDSMFG_100315,ACTION_DIGITAL,0.4
317,LDSMFG_100316,ACTION_BOT,0.69
318,LDSMFG_100317,ACTION_HUMAN_CALL,0.65
319,LDSMFG_100318,ACTION_BOT,0.06
320,LDSMFG_100319,ACTION_FIELD,0.36
321,LDSMFG_100320,ACTION_FIELD,0.36
322,LDSMFG_100321,ACTION_BOT,0.11
323,LDSMFG_100322,ACTION_BOT,0.17
324,LDSMFG_100323,ACTION_DIGITAL,0.41
325,LDSMFG_100324,ACTION_BOT,0.19
326,LDSMFG_100325,ACTION_HUMAN_CALL,0.56
327,LDSMFG_100326,ACTION_FIELD,0.41
328,LDSMFG_100327,ACTION_FIELD,0.49
329,LDSMFG_100328,ACTION_FIELD,0.45
330,LDSMFG_100329,ACTION_BOT,0.22
331,LDSMFG_100330,ACTION_FIELD,0.4
332,LDSMFG_100331,ACTION_HUMAN_CALL,0.62
333,LDSMFG_100332,ACTION_FIELD,0.37
334,LDSMFG_100333,ACTION_HUMAN_CALL,0.74
335,LDSMFG_100334,ACTION_DIGITAL,0.77
336,LDSMFG_100335,ACTION_FIELD,0.81
337,LDSMFG_100336,ACTION_HUMAN_CALL,0.49
338,LDSMFG_100337,ACTION_FIELD,0.76
339,LDSMFG_100338,ACTION_HUMAN_CALL,0.15
340,LDSMFG_100339,ACTION_HUMAN_CALL,0.4
341,LDSMFG_100340,ACTION_DIGITAL,0.47
342,LDSMFG_100341,ACTION_FIELD,0.41
343,LDSMFG_100342,ACTION_DIGITAL,0.43
344,LDSMFG_100343,ACTION_FIELD,0.44
345,LDSMFG_100344,ACTION_DIGITAL,0.86
346,LDSMFG_100345,ACTION_FIELD,0.38
347,LDSMFG_100346,ACTION_HUMAN_CALL,0.21
348,LDSMFG_100347,ACTION_BOT,0.71
349,LDSMFG_100348,ACTION_HUMAN_CALL,0.57
350,LDSMFG_100349,ACTION_HUMAN_CALL,0.68
351,LDSMFG_100350,ACTION_BOT,0.41
352,LDSMFG_100351,ACTION_BOT,0.2
353,LDSMFG_100352,ACTION_HUMAN_CALL,0.59
354,LDSMFG_100353,ACTION_FIELD,0.68
355,LDSMFG_100354,ACTION_BOT,0.49
356,LDSMFG_100355,ACTION_DIGITAL,0.58
357,LDSMFG_100356,ACTION_FIELD,0.73
358,LDSMFG_100357,ACTION_HUMAN_CALL,0.27
359,LDSMFG_100358,ACTION_BOT,0.51
360,LDSMFG_100359,ACTION_FIELD,0.43
361,LDSMFG_100360,ACTION_DIGITAL,0.63
362,LDSMFG_100361,ACTION_DIGITAL,0.42
363,LDSMFG_100362,ACTION_BOT,0.0
364,LDSMFG_100363,ACTION_DIGITAL,0.55
365,LDSMFG_100364,ACTION_HUMAN_CALL,0.57
366,LDSMFG_100365,ACTION_DIGITAL,0.29
367,LDSMFG_100366,ACTION_FIELD,0.44
368,LDSMFG_100367,ACTION_BOT,0.35
369,LDSMFG_100368,ACTION_HUMAN_CALL,0.47
370,LDSMFG_100369,ACTION_HUMAN_CALL,0.39
371,LDSMFG_100370,ACTION_BOT,0.47
372,LDSMFG_100371,ACTION_HUMAN_CALL,0.61
373,LDSMFG_100372,ACTION_DIGITAL,0.86
374,LDSMFG_100373,ACTION_FIELD,0.3
375,LDSMFG_100374,ACTION_FIELD,0.47
376,LDSMFG_100375,ACTION_DIGITAL,0.1
377,LDSMFG_100376,ACTION_BOT,0.26
378,LDSMFG_100377,ACTION_FIELD,0.35
379,LDSMFG_100378,ACTION_HUMAN_CALL,0.54
380,LDSMFG_100379,ACTION_HUMAN_CALL,0.41
381,LDSMFG_100380,ACTION_FIELD,0.34
382,LDSMFG_100381,ACTION_HUMAN_CALL,0.58
383,LDSMFG_100382,ACTION_FIELD,0.47
384,LDSMFG_100383,ACTION_DIGITAL,0.37
385,LDSMFG_100384,ACTION_BOT,0.32
386,LDSMFG_100385,ACTION_FIELD,0.4
387,LDSMFG_100386,ACTION_DIGITAL,0.73
388,LDSMFG_100387,ACTION_FIELD,0.72
389,LDSMFG_100388,ACTION_DIGITAL,0.44
390,LDSMFG_100389,ACTION_DIGITAL,0.58
391,LDSMFG_100390,ACTION_BOT,0.23
392,LDSMFG_100391,ACTION_DIGITAL,0.29
393,LDSMFG_100392,ACTION_FIELD,0.69
394,LDSMFG_100393,ACTION_FIELD,0.64
395,LDSMFG_100394,ACTION_HUMAN_CALL,0.52
396,LDSMFG_100395,ACTION_FIELD,0.41
397,LDSMFG_100396,ACTION_BOT,0.45
398,LDSMFG_100397,ACTION_HUMAN_CALL,0.72
399,LDSMFG_100398,ACTION_HUMAN_CALL,0.63
400,LDSMFG_100399,ACTION_BOT,0.33
401,LDSMFG_100400,ACTION_HUMAN_CALL,0.38
402,LDSMFG_100401,ACTION_FIELD,0.69
403,LDSMFG_100402,ACTION_FIELD,0.41
404,LDSMFG_100403,ACTION_HUMAN_CALL,0.46
405,LDSMFG_100404,ACTION_BOT,0.42
406,LDSMFG_100405,ACTION_HUMAN_CALL,0.46
407,LDSMFG_100406,ACTION_FIELD,0.4
408,LDSMFG_100407,ACTION_DIGITAL,0.84
409,LDSMFG_100408,ACTION_BOT,0.46
410,LDSMFG_100409,ACTION_DIGITAL,0.84
411,LDSMFG_100410,ACTION_HUMAN_CALL,0.4
412,LDSMFG_100411,ACTION_FIELD,0.46
413,LDSMFG_100412,ACTION_DIGITAL,0.17
414,LDSMFG_100413,ACTION_BOT,0.32
415,LDSMFG_100414,ACTION_DIGITAL,0.37
416,LDSMFG_100415,ACTION_BOT,0.51
417,LDSMFG_100416,ACTION_DIGITAL,0.15
418,LDSMFG_100417,ACTION_DIGITAL,0.55
419,LDSMFG_100418,ACTION_FIELD,0.48
420,LDSMFG_100419,ACTION_BOT,0.32
421,LDSMFG_100420,ACTION_FIELD,0.35
422,LDSMFG_100421,ACTION_HUMAN_CALL,0.39
423,LDSMFG_100422,ACTION_FIELD,0.69
424,LDSMFG_100423,ACTION_DIGITAL,0.69
425,LDSMFG_100424,ACTION_BOT,0.14
426,LDSMFG_100425,ACTION_HUMAN_CALL,0.35
427,LDSMFG_100426,ACTION_BOT,0.73
428,LDSMFG_100427,ACTION_DIGITAL,0.6
429,LDSMFG_100428,ACTION_BOT,0.45
430,LDSMFG_100429,ACTION_BOT,0.53
431,LDSMFG_100430,ACTION_DIGITAL,0.67
432,LDSMFG_100431,ACTION_DIGITAL,0.66
433,LDSMFG_100432,ACTION_FIELD,0.3
434,LDSMFG_100433,ACTION_FIELD,0.45
435,LDSMFG_100434,ACTION_BOT,0.62
436,LDSMFG_100435,ACTION_DIGITAL,0.66
437,LDSMFG_100436,ACTION_DIGITAL,0.43
438,LDSMFG_100437,ACTION_HUMAN_CALL,0.61
439,LDSMFG_100438,ACTION_FIELD,0.37
440,LDSMFG_100439,ACTION_DIGITAL,0.06
441,LDSMFG_100440,ACTION_HUMAN_CALL,0.44
442,LDSMFG_100441,ACTION_DIGITAL,0.46
443,LDSMFG_100442,ACTION_FIELD,0.69
444,LDSMFG_100443,ACTION_FIELD,0.42
445,LDSMFG_100444,ACTION_DIGITAL,0.34
446,LDSMFG_100445,ACTION_BOT,0.36
447,LDSMFG_100446,ACTION_HUMAN_CALL,0.31
448,LDSMFG_100447,ACTION_FIELD,0.35
449,LDSMFG_100448,ACTION_DIGITAL,0.12
450,LDSMFG_100449,ACTION_BOT,0.17
451,LDSMFG_100450,ACTION_BOT,0.59
452,LDSMFG_100451,ACTION_BOT,0.7
453,LDSMFG_100452,ACTION_FIELD,0.39
454,LDSMFG_100453,ACTION_BOT,0.19
455,LDSMFG_100454,ACTION_HUMAN_CALL,0.68
456,LDSMFG_100455,ACTION_FIELD,0.45
457,LDSMFG_100456,ACTION_FIELD,0.35
458,LDSMFG_100457,ACTION_HUMAN_CALL,0.22
459,LDSMFG_100458,ACTION_DIGITAL,0.59
460,LDSMFG_100459,ACTION_DIGITAL,0.7
461,LDSMFG_100460,ACTION_DIGITAL,0.49
462,LDSMFG_100461,ACTION_FIELD,0.44
463,LDSMFG_100462,ACTION_BOT,0.49
464,LDSMFG_100463,ACTION_FIELD,0.47
465,LDSMFG_100464,ACTION_HUMAN_CALL,0.44
466,LDSMFG_100465,ACTION_HUMAN_CALL,0.17
467,LDSMFG_100466,ACTION_FIELD,0.72
468,LDSMFG_100467,ACTION_BOT,0.46
469,LDSMFG_100468,ACTION_BOT,0.55
470,LDSMFG_100469,ACTION_BOT,0.57
471,LDSMFG_100470,ACTION_DIGITAL,0.86
472,LDSMFG_100471,ACTION_BOT,0.32
473,LDSMFG_100472,ACTION_DIGITAL,0.75
474,LDSMFG_100473,ACTION_DIGITAL,0.76
475,LDSMFG_100474,ACTION_BOT,0.45
476,LDSMFG_100475,ACTION_HUMAN_CALL,0.45
477,LDSMFG_100476,ACTION_FIELD,0.45
478,LDSMFG_100477,ACTION_FIELD,0.48
479,LDSMFG_100478,ACTION_DIGITAL,0.26
480,LDSMFG_100479,ACTION_BOT,0.49
481,LDSMFG_100480,ACTION_HUMAN_CALL,0.32
482,LDSMFG_100481,ACTION_DIGITAL,0.47
483,LDSMFG_100482,ACTION_HUMAN_CALL,0.07
484,LDSMFG_100483,ACTION_FIELD,0.6
485,LDSMFG_100484,ACTION_FIELD,0.34
486,LDSMFG_100485,ACTION_BOT,0.66
487,LDSMFG_100486,ACTION_BOT,0.45
488,LDSMFG_100487,ACTION_HUMAN_CALL,0.3
489,LDSMFG_100488,ACTION_FIELD,0.38
490,LDSMFG_100489,ACTION_BOT,0.07
491,LDSMFG_100490,ACTION_BOT,0.31
492,LDSMFG_100491,ACTION_DIGITAL,0.26
493,LDSMFG_100492,ACTION_DIGITAL,0.49
494,LDSMFG_100493,ACTION_FIELD,0.69
495,LDSMFG_100494,ACTION_HUMAN_CALL,0.35
496,LDSMFG_100495,ACTION_FIELD,0.39
497,LDSMFG_100496,ACTION_BOT,0.36
498,LDSMFG_100497,ACTION_DIGITAL,0.79
499,LDSMFG_100498,ACTION_BOT,0.63
500,LDSMFG_100499,ACTION_FIELD,0.42
501,LDSMFG_100500,ACTION_BOT,0.38
502,LDSMFG_100501,ACTION_FIELD,0.66
503,LDSMFG_100502,ACTION_BOT,0.15
504,LDSMFG_100503,ACTION_DIGITAL,0.42
505,LDSMFG_100504,ACTION_BOT,0.6
506,LDSMFG_100505,ACTION_BOT,0.38
507,LDSMFG_100506,ACTION_BOT,0.25
508,LDSMFG_100507,ACTION_HUMAN_CALL,0.18
509,LDSMFG_100508,ACTION_DIGITAL,0.64
