lead_code,status
LDSMFG_162981,DELIVERED
LDSMFG_149068,DELIVERED
LDSMFG_191743,DELIVERED
LDSMFG_147828,DELIVERED
LDSMFG_100726,DELIVERED
LDSMFG_115774,DELIVERED
LDSMFG_155441,DELIVERED
LDSMFG_152817,DELIVERED
LDSMFG_174309,DELIVERED
LDSMFG_190650,DELIVERED
LDSMFG_187910,DELIVERED
LDSMFG_159725,DELIVERED
LDSMFG_132923,DELIVERED
LDSMFG_179038,DELIVERED
LDSMFG_129319,DELIVERED
LDSMFG_137837,DELIVERED
LDSMFG_166425,DELIVERED
LDSMFG_156121,DELIVERED
LDSMFG_137852,DELIVERED
LDSMFG_190259,DELIVERED
LDSMFG_139523,DELIVERED
LDSMFG_187245,DELIVERED
LDSMFG_163819,DELIVERED
LDSMFG_178161,DELIVERED
LDSMFG_197800,DELIVERED
LDSMFG_168646,DELIVERED
LDSMFG_160827,DELIVERED
LDSMFG_101059,DELIVERED
LDSMFG_169464,DELIVERED
LDSMFG_175465,DELIVERED
LDSMFG_181865,DELIVERED
LDSMFG_157844,DELIVERED
LDSMFG_119004,DELIVERED
LDSMFG_128451,DELIVERED
LDSMFG_109267,DELIVERED
LDSMFG_153458,DELIVERED
LDSMFG_163557,DELIVERED
LDSMFG_185442,DELIVERED
LDSMFG_183849,DELIVERED
LDSMFG_176806,DELIVERED
LDSMFG_103561,DELIVERED
LDSMFG_105184,DELIVERED
LDSMFG_183071,DELIVERED
LDSMFG_135815,DELIVERED
LDSMFG_100996,DELIVERED
LDSMFG_165941,DELIVERED
LDSMFG_125967,DELIVERED
LDSMFG_172358,DELIVERED
LDSMFG_110463,DELIVERED
LDSMFG_151158,DELIVERED
LDSMFG_145392,DELIVERED
LDSMFG_139713,DELIVERED
LDSMFG_150762,DELIVERED
LDSMFG_197845,DELIVERED
LDSMFG_134181,DELIVERED
LDSMFG_138544,DELIVERED
LDSMFG_144643,DELIVERED
LDSMFG_101979,DELIVERED
LDSMFG_182114,DELIVERED
LDSMFG_197514,DELIVERED
LDSMFG_199829,DELIVERED
LDSMFG_146349,DELIVERED
LDSMFG_165161,DELIVERED
LDSMFG_139848,DELIVERED
LDSMFG_126337,DELIVERED
LDSMFG_119914,DELIVERED
LDSMFG_191511,DELIVERED
LDSMFG_115566,DELIVERED
LDSMFG_191778,DELIVERED
LDSMFG_119810,DELIVERED
LDSMFG_134168,DELIVERED
LDSMFG_164886,DELIVERED
LDSMFG_133204,DELIVERED
LDSMFG_181245,DELIVERED
LDSMFG_153720,DELIVERED
LDSMFG_180808,DELIVERED
LDSMFG_106353,DELIVERED
LDSMFG_122812,DELIVERED
LDSMFG_177032,DELIVERED
LDSMFG_111458,DELIVERED
LDSMFG_118433,DELIVERED
LDSMFG_188043,DELIVERED
LDSMFG_197821,DELIVERED
LDSMFG_122039,DELIVERED
LDSMFG_157627,DELIVERED
LDSMFG_101420,DELIVERED
LDSMFG_154430,DELIVERED
LDSMFG_190730,DELIVERED
LDSMFG_135392,DELIVERED
LDSMFG_134302,DELIVERED
LDSMFG_177232,DELIVERED
LDSMFG_143982,DELIVERED
LDSMFG_107763,DELIVERED
LDSMFG_111481,DELIVERED
LDSMFG_160206,DELIVERED
LDSMFG_150803,DELIVERED
LDSMFG_186327,DELIVERED
LDSMFG_178050,DELIVERED
LDSMFG_164999,DELIVERED
LDSMFG_143759,DELIVERED
LDSMFG_148123,DELIVERED
LDSMFG_193097,DELIVERED
LDSMFG_131467,DELIVERED
LDSMFG_149861,DELIVERED
LDSMFG_113934,DELIVERED
LDSMFG_197674,DELIVERED
LDSMFG_133319,DELIVERED
LDSMFG_125280,DELIVERED
LDSMFG_102387,DELIVERED
LDSMFG_178496,DELIVERED
LDSMFG_198995,DELIVERED
LDSMFG_143307,DELIVERED
LDSMFG_143198,DELIVERED
LDSMFG_191762,DELIVERED
LDSMFG_174938,DELIVERED
LDSMFG_179529,DELIVERED
LDSMFG_184244,DELIVERED
LDSMFG_182329,DELIVERED
LDSMFG_102721,DELIVERED
LDSMFG_128844,DELIVERED
LDSMFG_154561,DELIVERED
LDSMFG_123849,DELIVERED
LDSMFG_138113,DELIVERED
LDSMFG_193408,DELIVERED
LDSMFG_184927,DELIVERED
LDSMFG_178146,DELIVERED
LDSMFG_170932,DELIVERED
LDSMFG_173333,DELIVERED
LDSMFG_138756,DELIVERED
LDSMFG_165580,DELIVERED
LDSMFG_133946,DELIVERED
LDSMFG_198340,DELIVERED
LDSMFG_185317,DELIVERED
LDSMFG_194806,DELIVERED
LDSMFG_155397,DELIVERED
LDSMFG_115681,DELIVERED
LDSMFG_119238,DELIVERED
LDSMFG_190965,DELIVERED
LDSMFG_152170,DELIVERED
LDSMFG_128744,DELIVERED
LDSMFG_163052,DELIVERED
LDSMFG_196957,DELIVERED
LDSMFG_167347,DELIVERED
LDSMFG_191401,DELIVERED
LDSMFG_143741,DELIVERED
LDSMFG_116518,DELIVERED
LDSMFG_133262,DELIVERED
LDSMFG_195818,DELIVERED
LDSMFG_149243,DELIVERED
LDSMFG_151418,DELIVERED
LDSMFG_181011,DELIVERED
LDSMFG_186058,DELIVERED
LDSMFG_126495,DELIVERED
LDSMFG_161043,DELIVERED
LDSMFG_138763,DELIVERED
LDSMFG_154580,DELIVERED
LDSMFG_128265,DELIVERED
LDSMFG_103639,DELIVERED
LDSMFG_163085,DELIVERED
LDSMFG_102304,DELIVERED
LDSMFG_135042,DELIVERED
LDSMFG_116297,DELIVERED
LDSMFG_124688,DELIVERED
LDSMFG_127005,DELIVERED
LDSMFG_140627,DELIVERED
LDSMFG_106600,DELIVERED
LDSMFG_111256,DELIVERED
LDSMFG_183607,DELIVERED
LDSMFG_104566,DELIVERED
LDSMFG_129167,DELIVERED
LDSMFG_186003,DELIVERED
LDSMFG_177719,DELIVERED
LDSMFG_156981,DELIVERED
LDSMFG_104732,DELIVERED
LDSMFG_185564,DELIVERED
LDSMFG_124703,DELIVERED
LDSMFG_154942,DELIVERED
LDSMFG_113842,DELIVERED
LDSMFG_125804,DELIVERED
LDSMFG_134609,DELIVERED
LDSMFG_171635,DELIVERED
LDSMFG_119135,DELIVERED
LDSMFG_140385,DELIVERED
LDSMFG_103954,DELIVERED
LDSMFG_193945,DELIVERED
LDSMFG_196830,DELIVERED
LDSMFG_172200,DELIVERED
LDSMFG_177788,DELIVERED
LDSMFG_144696,DELIVERED
LDSMFG_193516,DELIVERED
LDSMFG_194933,DELIVERED
LDSMFG_136931,DELIVERED
LDSMFG_166725,DELIVERED
LDSMFG_103568,DELIVERED
LDSMFG_165159,DELIVERED
LDSMFG_108011,DELIVERED
LDSMFG_154267,DELIVERED
LDSMFG_129493,DELIVERED
LDSMFG_148721,DELIVERED
LDSMFG_125641,DELIVERED
LDSMFG_195017,DELIVERED
LDSMFG_148446,DELIVERED
LDSMFG_196776,DELIVERED
LDSMFG_198708,DELIVERED
LDSMFG_181598,DELIVERED
LDSMFG_131221,DELIVERED
LDSMFG_135719,DELIVERED
LDSMFG_147836,DELIVERED
LDSMFG_187044,DELIVERED
LDSMFG_126712,DELIVERED
LDSMFG_186970,DELIVERED
LDSMFG_170519,DELIVERED
LDSMFG_110873,DELIVERED
LDSMFG_190092,DELIVERED
LDSMFG_148358,DELIVERED
LDSMFG_157701,DELIVERED
LDSMFG_116889,DELIVERED
LDSMFG_118184,DELIVERED
LDSMFG_185024,DELIVERED
LDSMFG_105083,DELIVERED
LDSMFG_167920,DELIVERED
LDSMFG_110261,DELIVERED
LDSMFG_132295,DELIVERED
LDSMFG_174052,DELIVERED
LDSMFG_158626,DELIVERED
LDSMFG_131018,DELIVERED
LDSMFG_125461,DELIVERED
LDSMFG_138374,DELIVERED
LDSMFG_137116,DELIVERED
LDSMFG_195508,DELIVERED
LDSMFG_188681,DELIVERED
LDSMFG_193304,DELIVERED
LDSMFG_160154,DELIVERED
LDSMFG_124324,DELIVERED
LDSMFG_146751,DELIVERED
LDSMFG_113856,DELIVERED
LDSMFG_146890,DELIVERED
LDSMFG_123094,DELIVERED
LDSMFG_193453,DELIVERED
LDSMFG_190581,DELIVERED
LDSMFG_193009,DELIVERED
LDSMFG_143947,DELIVERED
LDSMFG_114725,DELIVERED
LDSMFG_125908,DELIVERED
LDSMFG_183822,DELIVERED
LDSMFG_141908,DELIVERED
LDSMFG_189356,DELIVERED
LDSMFG_107102,DELIVERED
LDSMFG_178940,DELIVERED
LDSMFG_191889,DELIVERED
LDSMFG_161854,DELIVERED
LDSMFG_118977,DELIVERED
LDSMFG_197154,DELIVERED
LDSMFG_129845,DELIVERED
LDSMFG_158209,DELIVERED
LDSMFG_182449,DELIVERED
LDSMFG_197517,DELIVERED
LDSMFG_102805,DELIVERED
LDSMFG_110118,DELIVERED
LDSMFG_195650,DELIVERED
LDSMFG_180408,DELIVERED
LDSMFG_187183,DELIVERED
LDSMFG_127908,DELIVERED
LDSMFG_190259,DELIVERED
LDSMFG_172527,DELIVERED
LDSMFG_119738,DELIVERED
LDSMFG_148411,DELIVERED
LDSMFG_163297,DELIVERED
LDSMFG_192523,DELIVERED
LDSMFG_156932,DELIVERED
LDSMFG_124171,DELIVERED
LDSMFG_195650,DELIVERED
LDSMFG_103996,DELIVERED
LDSMFG_177647,DELIVERED
LDSMFG_157813,DELIVERED
LDSMFG_164909,DELIVERED
LDSMFG_184467,DELIVERED
LDSMFG_174377,DELIVERED
LDSMFG_187569,DELIVERED
LDSMFG_103978,DELIVERED
LDSMFG_158822,DELIVERED
LDSMFG_143079,DELIVERED
LDSMFG_117845,DELIVERED
LDSMFG_165378,DELIVERED
LDSMFG_127938,DELIVERED
LDSMFG_116658,DELIVERED
LDSMFG_191326,DELIVERED
LDSMFG_154281,DELIVERED
LDSMFG_125592,DELIVERED
LDSMFG_193635,DELIVERED
LDSMFG_175855,DELIVERED
LDSMFG_166866,DELIVERED
LDSMFG_172958,DELIVERED
LDSMFG_159697,DELIVERED
LDSMFG_194069,DELIVERED
LDSMFG_186832,DELIVERED
LDSMFG_165695,DELIVERED
LDSMFG_135226,DELIVERED
LDSMFG_101615,DELIVERED
LDSMFG_179396,DELIVERED
LDSMFG_149428,DELIVERED
LDSMFG_119746,DELIVERED
LDSMFG_170173,DELIVERED
LDSMFG_154720,DELIVERED
LDSMFG_196636,DELIVERED
LDSMFG_147107,DELIVERED
LDSMFG_110085,DELIVERED
LDSMFG_196820,DELIVERED
LDSMFG_151429,DELIVERED
LDSMFG_127734,DELIVERED
LDSMFG_197657,DELIVERED
LDSMFG_188699,DELIVERED
LDSMFG_113493,DELIVERED
LDSMFG_118430,DELIVERED
LDSMFG_136800,DELIVERED
LDSMFG_190642,DELIVERED
LDSMFG_142358,DELIVERED
LDSMFG_177906,DELIVERED
LDSMFG_119690,DELIVERED
LDSMFG_105782,DELIVERED
LDSMFG_189043,DELIVERED
LDSMFG_159340,DELIVERED
LDSMFG_101266,DELIVERED
LDSMFG_122154,DELIVERED
LDSMFG_160039,DELIVERED
LDSMFG_134762,DELIVERED
LDSMFG_141931,DELIVERED
LDSMFG_163037,DELIVERED
LDSMFG_143000,DELIVERED
LDSMFG_132990,DELIVERED
LDSMFG_180419,DELIVERED
LDSMFG_181306,DELIVERED
LDSMFG_183518,DELIVERED
LDSMFG_117777,DELIVERED
LDSMFG_105189,DELIVERED
LDSMFG_165761,DELIVERED
LDSMFG_151716,DELIVERED
LDSMFG_185673,DELIVERED
LDSMFG_154971,DELIVERED
LDSMFG_177809,DELIVERED
LDSMFG_146476,DELIVERED
LDSMFG_197949,DELIVERED
LDSMFG_105665,DELIVERED
LDSMFG_140452,DELIVERED
LDSMFG_132946,DELIVERED
LDSMFG_125913,DELIVERED
LDSMFG_186530,DELIVERED
LDSMFG_154452,DELIVERED
LDSMFG_176140,DELIVERED
LDSMFG_154220,DELIVERED
LDSMFG_169616,DELIVERED
LDSMFG_132438,DELIVERED
LDSMFG_151465,DELIVERED
LDSMFG_126120,DELIVERED
LDSMFG_143205,DELIVERED
LDSMFG_101617,DELIVERED
LDSMFG_172912,DELIVERED
LDSMFG_166429,DELIVERED
LDSMFG_158449,DELIVERED
LDSMFG_135361,DELIVERED
LDSMFG_172334,DELIVERED
LDSMFG_141082,DELIVERED
LDSMFG_164809,DELIVERED
LDSMFG_136299,DELIVERED
LDSMFG_143355,DELIVERED
LDSMFG_163967,DELIVERED
LDSMFG_144347,DELIVERED
LDSMFG_137967,DELIVERED
LDSMFG_160941,DELIVERED
LDSMFG_167307,DELIVERED
LDSMFG_187903,DELIVERED
LDSMFG_167909,DELIVERED
LDSMFG_182150,DELIVERED
LDSMFG_138205,DELIVERED
LDSMFG_137810,DELIVERED
LDSMFG_155311,DELIVERED
LDSMFG_147813,DELIVERED
LDSMFG_155199,DELIVERED
LDSMFG_160653,DELIVERED
LDSMFG_114818,DELIVERED
LDSMFG_166023,DELIVERED
LDSMFG_100051,DELIVERED
LDSMFG_153547,DELIVERED
LDSMFG_171875,DELIVERED
LDSMFG_189808,DELIVERED
LDSMFG_133970,DELIVERED
LDSMFG_111049,DELIVERED
LDSMFG_166740,DELIVERED
LDSMFG_135703,DELIVERED
LDSMFG_167505,DELIVERED
LDSMFG_191553,DELIVERED
LDSMFG_123753,DELIVERED
LDSMFG_112882,DELIVERED
LDSMFG_161072,DELIVERED
LDSMFG_132238,DELIVERED
LDSMFG_158828,DELIVERED
LDSMFG_115869,DELIVERED
LDSMFG_158277,DELIVERED
LDSMFG_194111,DELIVERED
LDSMFG_198707,DELIVERED
LDSMFG_189811,DELIVERED
LDSMFG_127981,DELIVERED
LDSMFG_181445,DELIVERED
LDSMFG_155379,DELIVERED
LDSMFG_191208,DELIVERED
LDSMFG_100303,DELIVERED
LDSMFG_104178,DELIVERED
LDSMFG_182173,DELIVERED
LDSMFG_186682,DELIVERED
LDSMFG_115283,DELIVERED
LDSMFG_189175,DELIVERED
LDSMFG_163351,DELIVERED
LDSMFG_139208,DELIVERED
LDSMFG_128247,DELIVERED
LDSMFG_172756,DELIVERED
LDSMFG_181549,DELIVERED
LDSMFG_140408,DELIVERED
LDSMFG_153491,DELIVERED
LDSMFG_101319,DELIVERED
LDSMFG_112560,DELIVERED
LDSMFG_140604,DELIVERED
LDSMFG_138350,DELIVERED
LDSMFG_133945,DELIVERED
LDSMFG_193488,DELIVERED
LDSMFG_174280,DELIVERED
LDSMFG_197886,DELIVERED
LDSMFG_192834,DELIVERED
LDSMFG_127592,DELIVERED
LDSMFG_154536,DELIVERED
LDSMFG_169987,DELIVERED
LDSMFG_193624,DELIVERED
LDSMFG_158196,DELIVERED
LDSMFG_134627,DELIVERED
LDSMFG_190732,DELIVERED
LDSMFG_168077,DELIVERED
LDSMFG_161724,DELIVERED
LDSMFG_139208,DELIVERED
LDSMFG_195647,DELIVERED
LDSMFG_182995,DELIVERED
LDSMFG_143347,DELIVERED
LDSMFG_140881,DELIVERED
LDSMFG_133823,DELIVERED
LDSMFG_189818,DELIVERED
LDSMFG_186057,DELIVERED
LDSMFG_149880,DELIVERED
LDSMFG_126723,DELIVERED
LDSMFG_152729,DELIVERED
LDSMFG_102400,DELIVERED
LDSMFG_159604,DELIVERED
LDSMFG_161557,DELIVERED
LDSMFG_148889,DELIVERED
LDSMFG_182594,DELIVERED
LDSMFG_162983,DELIVERED
LDSMFG_126238,DELIVERED
LDSMFG_160107,DELIVERED
LDSMFG_120755,DELIVERED
LDSMFG_109526,DELIVERED
LDSMFG_124852,DELIVERED
LDSMFG_105748,DELIVERED
LDSMFG_102370,DELIVERED
LDSMFG_122132,DELIVERED
LDSMFG_120837,DELIVERED
LDSMFG_190034,DELIVERED
LDSMFG_110488,DELIVERED
LDSMFG_169079,DELIVERED
LDSMFG_193313,DELIVERED
LDSMFG_133613,DELIVERED
LDSMFG_152180,DELIVERED
LDSMFG_197420,DELIVERED
LDSMFG_150658,DELIVERED
LDSMFG_193321,DELIVERED
LDSMFG_100115,DELIVERED
LDSMFG_118606,DELIVERED
LDSMFG_175034,DELIVERED
LDSMFG_197804,DELIVERED
LDSMFG_127864,DELIVERED
LDSMFG_181230,DELIVERED
LDSMFG_144236,DELIVERED
LDSMFG_172178,DELIVERED
LDSMFG_192568,DELIVERED
LDSMFG_137971,DELIVERED
LDSMFG_145531,DELIVERED
LDSMFG_123976,DELIVERED
LDSMFG_172899,DELIVERED
LDSMFG_147749,DELIVERED
LDSMFG_131171,DELIVERED
LDSMFG_123132,DELIVERED
LDSMFG_138177,DELIVERED
LDSMFG_130997,DELIVERED
LDSMFG_181993,DELIVERED
LDSMFG_165246,DELIVERED
LDSMFG_178570,DELIVERED
LDSMFG_109385,DELIVERED
LDSMFG_136974,DELIVERED
LDSMFG_117678,DELIVERED
LDSMFG_182042,DELIVERED
LDSMFG_153697,DELIVERED
LDSMFG_127985,DELIVERED
LDSMFG_196787,DELIVERED
LDSMFG_153696,DELIVERED
LDSMFG_165661,DELIVERED
LDSMFG_131442,DELIVERED
LDSMFG_145590,DELIVERED
LDSMFG_123962,DELIVERED
LDSMFG_193225,DELIVERED
LDSMFG_139458,DELIVERED
LDSMFG_114971,DELIVERED
LDSMFG_145995,DELIVERED
LDSMFG_109360,DELIVERED
LDSMFG_108920,DELIVERED
LDSMFG_166181,DELIVERED
LDSMFG_158477,DELIVERED
LDSMFG_133716,DELIVERED
LDSMFG_106761,DELIVERED
LDSMFG_121409,DELIVERED
LDSMFG_137557,DELIVERED
LDSMFG_178668,DELIVERED
LDSMFG_171784,DELIVERED
LDSMFG_126293,DELIVERED
LDSMFG_190539,DELIVERED
LDSMFG_102608,DELIVERED
LDSMFG_157483,DELIVERED
LDSMFG_185702,DELIVERED
LDSMFG_192202,DELIVERED
LDSMFG_181316,DELIVERED
LDSMFG_186416,DELIVERED
LDSMFG_124571,DELIVERED
LDSMFG_168294,DELIVERED
LDSMFG_141071,DELIVERED
LDSMFG_152511,DELIVERED
LDSMFG_154417,DELIVERED
LDSMFG_198674,DELIVERED
LDSMFG_139416,DELIVERED
LDSMFG_159346,DELIVERED
LDSMFG_194454,DELIVERED
LDSMFG_104073,DELIVERED
LDSMFG_193573,DELIVERED
LDSMFG_165389,DELIVERED
LDSMFG_139459,DELIVERED
LDSMFG_178365,DELIVERED
LDSMFG_179100,DELIVERED
LDSMFG_165468,DELIVERED
LDSMFG_168866,DELIVERED
LDSMFG_143327,DELIVERED
LDSMFG_140074,DELIVERED
LDSMFG_127889,DELIVERED
LDSMFG_194548,DELIVERED
LDSMFG_108728,DELIVERED
LDSMFG_127728,DELIVERED
LDSMFG_178824,DELIVERED
LDSMFG_116964,DELIVERED
LDSMFG_160034,DELIVERED
LDSMFG_153975,DELIVERED
LDSMFG_193640,DELIVERED
LDSMFG_163827,DELIVERED
LDSMFG_176249,DELIVERED
LDSMFG_167274,DELIVERED
LDSMFG_145465,DELIVERED
LDSMFG_145217,DELIVERED
LDSMFG_128661,DELIVERED
LDSMFG_142677,DELIVERED
LDSMFG_180150,DELIVERED
LDSMFG_156160,DELIVERED
LDSMFG_133821,DELIVERED
LDSMFG_126269,DELIVERED
LDSMFG_106120,DELIVERED
LDSMFG_162585,DELIVERED
LDSMFG_170380,DELIVERED
LDSMFG_130664,DELIVERED
LDSMFG_164555,DELIVERED
LDSMFG_133526,DELIVERED
LDSMFG_164006,DELIVERED
LDSMFG_195309,DELIVERED
LDSMFG_101531,DELIVERED
LDSMFG_148338,DELIVERED
LDSMFG_132410,DELIVERED
LDSMFG_139581,DELIVERED
LDSMFG_133308,DELIVERED
LDSMFG_167254,DELIVERED
LDSMFG_164500,DELIVERED
LDSMFG_104824,DELIVERED
LDSMFG_124515,DELIVERED
LDSMFG_196757,DELIVERED
LDSMFG_116008,DELIVERED
LDSMFG_130982,DELIVERED
LDSMFG_144657,DELIVERED
LDSMFG_102611,DELIVERED
LDSMFG_110597,DELIVERED
LDSMFG_190284,DELIVERED
LDSMFG_190025,DELIVERED
LDSMFG_120739,DELIVERED
LDSMFG_128078,DELIVERED
LDSMFG_135712,DELIVERED
LDSMFG_124781,DELIVERED
LDSMFG_189120,DELIVERED
LDSMFG_168053,DELIVERED
LDSMFG_193775,DELIVERED
LDSMFG_183607,DELIVERED
LDSMFG_154380,DELIVERED
LDSMFG_146000,DELIVERED
LDSMFG_197557,DELIVERED
LDSMFG_171093,DELIVERED
LDSMFG_120136,DELIVERED
LDSMFG_106992,DELIVERED
LDSMFG_134410,DELIVERED
LDSMFG_153893,DELIVERED
LDSMFG_110560,DELIVERED
LDSMFG_151114,DELIVERED
LDSMFG_132069,DELIVERED
LDSMFG_141891,DELIVERED
LDSMFG_194384,DELIVERED
LDSMFG_198276,DELIVERED
LDSMFG_197437,DELIVERED
LDSMFG_115145,DELIVERED
LDSMFG_114479,DELIVERED
LDSMFG_184064,DELIVERED
LDSMFG_107614,DELIVERED
LDSMFG_187091,DELIVERED
LDSMFG_175967,DELIVERED
LDSMFG_141807,DELIVERED
LDSMFG_108973,DELIVERED
LDSMFG_119780,DELIVERED
LDSMFG_171431,DELIVERED
LDSMFG_143794,DELIVERED
LDSMFG_169475,DELIVERED
LDSMFG_199361,DELIVERED
LDSMFG_105491,DELIVERED
LDSMFG_149485,DELIVERED
LDSMFG_125632,DELIVERED
LDSMFG_146533,DELIVERED
LDSMFG_173956,DELIVERED
LDSMFG_133784,DELIVERED
LDSMFG_160265,DELIVERED
LDSMFG_163817,DELIVERED
LDSMFG_169321,DELIVERED
LDSMFG_128012,DELIVERED
LDSMFG_181886,DELIVERED
