lead_code,call_type,disposition,duration,start_time,agent_id
LDSMFG_156615,HUMAN,NO_ANSWER,279,2025-01-12,AG_149
LDSMFG_128332,HUMAN,NO_ANSWER,55,2025-01-13,AG_108
LDSMFG_157871,HUMAN,ANSWERED,21,2025-01-09,AG_125
LDSMFG_122147,HUMAN,ANSWERED,11,2025-01-16,AG_103
LDSMFG_163542,HUMAN,ANSWERED,19,2025-01-25,AG_119
LDSMFG_192897,HUMAN,NO_ANSWER,108,2025-01-03,AG_139
LDSMFG_130184,HUMAN,NO_ANSWER,288,2025-01-04,AG_143
LDSMFG_139671,HUMAN,BUSY,18,2025-01-16,AG_146
LDSMFG_104679,HUMAN,ANSWERED,121,2025-01-04,AG_104
LDSMFG_143780,HUMAN,BUSY,101,2025-01-08,AG_102
LDSMFG_177611,HUMAN,NO_ANSWER,149,2025-01-23,AG_124
LDSMFG_180940,HUMAN,NO_ANSWER,35,2025-01-24,AG_128
LDSMFG_129414,HUMAN,NO_ANSWER,266,2025-01-09,AG_136
LDSMFG_106058,HUMAN,NO_ANSWER,221,2025-01-16,AG_108
LDSMFG_175918,HUMAN,NO_ANSWER,170,2025-01-28,AG_120
LDSMFG_148809,HUMAN,ANSWERED,244,2025-01-22,AG_103
LDSMFG_127276,HUMAN,ANSWERED,73,2025-01-16,AG_137
LDSMFG_143926,HUMAN,NO_ANSWER,114,2025-01-17,AG_105
LDSMFG_176813,HUMAN,NO_ANSWER,219,2025-01-09,AG_130
LDSMFG_163234,HUMAN,ANSWERED,44,2025-01-01,AG_102
LDSMFG_117042,HUMAN,NO_ANSWER,210,2025-01-06,AG_109
LDSMFG_177038,HUMAN,BUSY,131,2025-01-22,AG_132
LDSMFG_163234,HUMAN,ANSWERED,247,2025-01-05,AG_119
LDSMFG_102708,HUMAN,ANSWERED,208,2025-01-27,AG_107
LDSMFG_190449,HUMAN,NO_ANSWER,282,2025-01-07,AG_111
LDSMFG_195653,HUMAN,NO_ANSWER,102,2025-01-28,AG_146
LDSMFG_129708,HUMAN,NO_ANSWER,299,2025-01-29,AG_148
LDSMFG_119491,HUMAN,NO_ANSWER,136,2025-01-20,AG_113
LDSMFG_175505,HUMAN,ANSWERED,216,2025-01-12,AG_127
LDSMFG_170175,HUMAN,BUSY,24,2025-01-21,AG_100
LDSMFG_144177,HUMAN,NO_ANSWER,203,2025-01-22,AG_100
LDSMFG_141049,HUMAN,ANSWERED,273,2025-01-01,AG_109
LDSMFG_161912,HUMAN,NO_ANSWER,25,2025-01-17,AG_131
LDSMFG_127858,HUMAN,BUSY,93,2025-01-24,AG_102
LDSMFG_101959,HUMAN,NO_ANSWER,94,2025-01-06,AG_117
LDSMFG_115295,HUMAN,BUSY,244,2025-01-03,AG_101
LDSMFG_123156,HUMAN,NO_ANSWER,212,2025-01-21,AG_133
LDSMFG_181419,HUMAN,ANSWERED,258,2025-01-20,AG_145
LDSMFG_184355,HUMAN,NO_ANSWER,256,2025-01-08,AG_111
LDSMFG_123225,HUMAN,ANSWERED,245,2025-01-17,AG_146
LDSMFG_113537,HUMAN,NO_ANSWER,293,2025-01-14,AG_131
LDSMFG_123148,HUMAN,BUSY,143,2025-01-15,AG_113
LDSMFG_108459,HUMAN,NO_ANSWER,289,2025-01-18,AG_127
LDSMFG_116077,HUMAN,NO_ANSWER,136,2025-01-16,AG_141
LDSMFG_187207,HUMAN,NO_ANSWER,169,2025-01-04,AG_116
LDSMFG_119057,HUMAN,NO_ANSWER,139,2025-01-28,AG_134
LDSMFG_119568,HUMAN,ANSWERED,180,2025-01-29,AG_138
LDSMFG_186236,HUMAN,NO_ANSWER,100,2025-01-11,AG_121
LDSMFG_102215,HUMAN,NO_ANSWER,164,2025-01-15,AG_109
LDSMFG_195424,HUMAN,ANSWERED,160,2025-01-14,AG_132
LDSMFG_140638,HUMAN,NO_ANSWER,40,2025-01-19,AG_118
LDSMFG_183491,HUMAN,NO_ANSWER,26,2025-01-05,AG_133
LDSMFG_123677,HUMAN,ANSWERED,273,2025-01-18,AG_120
LDSMFG_147417,HUMAN,NO_ANSWER,181,2025-01-14,AG_110
LDSMFG_161654,HUMAN,ANSWERED,9,2025-01-24,AG_128
LDSMFG_184242,HUMAN,NO_ANSWER,91,2025-01-15,AG_129
LDSMFG_172804,HUMAN,NO_ANSWER,60,2025-01-21,AG_126
LDSMFG_158863,HUMAN,ANSWERED,23,2025-01-29,AG_142
LDSMFG_141457,HUMAN,NO_ANSWER,23,2025-01-12,AG_132
LDSMFG_134787,HUMAN,NO_ANSWER,249,2025-01-22,AG_144
LDSMFG_188303,HUMAN,BUSY,172,2025-01-11,AG_149
LDSMFG_169668,HUMAN,NO_ANSWER,236,2025-01-04,AG_102
LDSMFG_177618,HUMAN,ANSWERED,262,2025-01-11,AG_102
LDSMFG_116126,HUMAN,NO_ANSWER,183,2025-01-14,AG_143
LDSMFG_134947,HUMAN,NO_ANSWER,246,2025-01-29,AG_131
LDSMFG_186208,HUMAN,BUSY,58,2025-01-02,AG_107
LDSMFG_124947,HUMAN,NO_ANSWER,102,2025-01-11,AG_128
LDSMFG_143690,HUMAN,NO_ANSWER,92,2025-01-21,AG_112
LDSMFG_177753,HUMAN,NO_ANSWER,91,2025-01-12,AG_136
LDSMFG_104253,HUMAN,ANSWERED,215,2025-01-03,AG_115
LDSMFG_146348,HUMAN,NO_ANSWER,192,2025-01-12,AG_133
LDSMFG_101359,HUMAN,NO_ANSWER,273,2025-01-05,AG_141
LDSMFG_124410,HUMAN,NO_ANSWER,176,2025-01-29,AG_129
LDSMFG_116254,HUMAN,ANSWERED,32,2025-01-15,AG_148
LDSMFG_149722,HUMAN,ANSWERED,112,2025-01-12,AG_128
LDSMFG_176377,HUMAN,NO_ANSWER,208,2025-01-21,AG_137
LDSMFG_141835,HUMAN,ANSWERED,184,2025-01-29,AG_122
LDSMFG_118632,HUMAN,NO_ANSWER,225,2025-01-27,AG_143
LDSMFG_143013,HUMAN,NO_ANSWER,66,2025-01-16,AG_113
LDSMFG_157288,HUMAN,NO_ANSWER,213,2025-01-24,AG_117
LDSMFG_166271,HUMAN,NO_ANSWER,94,2025-01-23,AG_131
LDSMFG_167332,HUMAN,NO_ANSWER,267,2025-01-06,AG_139
LDSMFG_138827,HUMAN,ANSWERED,225,2025-01-24,AG_115
LDSMFG_126645,HUMAN,NO_ANSWER,223,2025-01-11,AG_133
LDSMFG_162043,HUMAN,NO_ANSWER,140,2025-01-28,AG_132
LDSMFG_165734,HUMAN,ANSWERED,266,2025-01-04,AG_106
LDSMFG_158784,HUMAN,ANSWERED,62,2025-01-21,AG_117
LDSMFG_188107,HUMAN,NO_ANSWER,198,2025-01-16,AG_138
LDSMFG_147135,HUMAN,NO_ANSWER,283,2025-01-30,AG_110
LDSMFG_195900,HUMAN,NO_ANSWER,22,2025-01-20,AG_110
LDSMFG_138549,HUMAN,NO_ANSWER,238,2025-01-26,AG_128
LDSMFG_160226,HUMAN,NO_ANSWER,255,2025-01-20,AG_136
LDSMFG_151082,HUMAN,NO_ANSWER,240,2025-01-17,AG_109
LDSMFG_188478,HUMAN,NO_ANSWER,285,2025-01-04,AG_143
LDSMFG_147037,HUMAN,NO_ANSWER,80,2025-01-25,AG_116
LDSMFG_171535,HUMAN,NO_ANSWER,235,2025-01-10,AG_136
LDSMFG_136602,HUMAN,NO_ANSWER,86,2025-01-11,AG_127
LDSMFG_110586,HUMAN,ANSWERED,95,2025-01-26,AG_123
LDSMFG_125453,HUMAN,NO_ANSWER,92,2025-01-10,AG_112
LDSMFG_100549,HUMAN,NO_ANSWER,115,2025-01-01,AG_102
LDSMFG_197827,HUMAN,ANSWERED,295,2025-01-13,AG_135
LDSMFG_145854,HUMAN,NO_ANSWER,153,2025-01-13,AG_111
LDSMFG_106462,HUMAN,NO_ANSWER,258,2025-01-14,AG_123
LDSMFG_123275,HUMAN,ANSWERED,154,2025-01-21,AG_106
LDSMFG_130092,HUMAN,ANSWERED,56,2025-01-29,AG_110
LDSMFG_149986,HUMAN,ANSWERED,115,2025-01-15,AG_135
LDSMFG_108680,HUMAN,NO_ANSWER,18,2025-01-01,AG_138
LDSMFG_111030,HUMAN,BUSY,287,2025-01-20,AG_122
LDSMFG_196729,HUMAN,NO_ANSWER,203,2025-01-24,AG_133
LDSMFG_135309,HUMAN,ANSWERED,245,2025-01-09,AG_114
LDSMFG_134574,HUMAN,NO_ANSWER,293,2025-01-15,AG_119
LDSMFG_163603,HUMAN,NO_ANSWER,53,2025-01-05,AG_144
LDSMFG_165340,HUMAN,ANSWERED,287,2025-01-19,AG_141
LDSMFG_145331,HUMAN,NO_ANSWER,93,2025-01-24,AG_140
LDSMFG_125610,HUMAN,NO_ANSWER,94,2025-01-02,AG_103
LDSMFG_165118,HUMAN,NO_ANSWER,202,2025-01-04,AG_120
LDSMFG_166765,HUMAN,NO_ANSWER,258,2025-01-10,AG_124
LDSMFG_101355,HUMAN,NO_ANSWER,280,2025-01-18,AG_145
LDSMFG_109627,HUMAN,ANSWERED,211,2025-01-22,AG_144
LDSMFG_175953,HUMAN,NO_ANSWER,212,2025-01-22,AG_125
LDSMFG_168199,HUMAN,ANSWERED,253,2025-01-17,AG_101
LDSMFG_156268,HUMAN,ANSWERED,296,2025-01-21,AG_114
LDSMFG_150215,HUMAN,NO_ANSWER,181,2025-01-07,AG_110
LDSMFG_135049,HUMAN,ANSWERED,139,2025-01-14,AG_149
LDSMFG_165342,HUMAN,ANSWERED,293,2025-01-17,AG_147
LDSMFG_199976,HUMAN,ANSWERED,184,2025-01-26,AG_100
LDSMFG_134075,HUMAN,ANSWERED,190,2025-01-01,AG_135
LDSMFG_120089,HUMAN,NO_ANSWER,76,2025-01-17,AG_145
LDSMFG_126552,HUMAN,NO_ANSWER,273,2025-01-06,AG_102
LDSMFG_110346,HUMAN,NO_ANSWER,180,2025-01-11,AG_132
LDSMFG_143167,HUMAN,NO_ANSWER,140,2025-01-04,AG_121
LDSMFG_184066,HUMAN,NO_ANSWER,132,2025-01-23,AG_134
LDSMFG_118457,HUMAN,ANSWERED,162,2025-01-07,AG_124
LDSMFG_103074,HUMAN,BUSY,147,2025-01-12,AG_127
LDSMFG_101706,HUMAN,BUSY,20,2025-01-08,AG_139
LDSMFG_105401,HUMAN,NO_ANSWER,239,2025-01-19,AG_141
LDSMFG_113838,HUMAN,NO_ANSWER,248,2025-01-09,AG_104
LDSMFG_140957,HUMAN,ANSWERED,172,2025-01-04,AG_147
LDSMFG_123102,HUMAN,BUSY,262,2025-01-07,AG_111
LDSMFG_108966,HUMAN,ANSWERED,274,2025-01-01,AG_142
LDSMFG_134677,HUMAN,NO_ANSWER,132,2025-01-21,AG_130
LDSMFG_142740,HUMAN,NO_ANSWER,248,2025-01-13,AG_125
LDSMFG_167960,HUMAN,ANSWERED,82,2025-01-28,AG_133
LDSMFG_136617,HUMAN,NO_ANSWER,11,2025-01-04,AG_116
LDSMFG_128403,HUMAN,ANSWERED,111,2025-01-22,AG_103
LDSMFG_199775,HUMAN,NO_ANSWER,288,2025-01-10,AG_118
LDSMFG_197379,HUMAN,ANSWERED,132,2025-01-15,AG_115
LDSMFG_121403,HUMAN,NO_ANSWER,84,2025-01-03,AG_102
LDSMFG_105775,HUMAN,NO_ANSWER,100,2025-01-28,AG_107
LDSMFG_108697,HUMAN,NO_ANSWER,103,2025-01-19,AG_118
LDSMFG_194343,HUMAN,ANSWERED,33,2025-01-08,AG_140
LDSMFG_103252,HUMAN,NO_ANSWER,149,2025-01-01,AG_134
LDSMFG_168126,HUMAN,NO_ANSWER,41,2025-01-25,AG_130
LDSMFG_177594,HUMAN,NO_ANSWER,52,2025-01-02,AG_120
LDSMFG_173610,HUMAN,NO_ANSWER,221,2025-01-11,AG_108
LDSMFG_189735,HUMAN,NO_ANSWER,210,2025-01-11,AG_145
LDSMFG_188560,HUMAN,BUSY,209,2025-01-25,AG_144
LDSMFG_188862,HUMAN,NO_ANSWER,252,2025-01-07,AG_102
LDSMFG_114541,HUMAN,NO_ANSWER,57,2025-01-20,AG_133
LDSMFG_157732,HUMAN,NO_ANSWER,1,2025-01-11,AG_108
LDSMFG_130461,HUMAN,NO_ANSWER,83,2025-01-24,AG_119
LDSMFG_170223,HUMAN,BUSY,18,2025-01-09,AG_114
LDSMFG_161391,HUMAN,NO_ANSWER,159,2025-01-19,AG_148
LDSMFG_106131,HUMAN,NO_ANSWER,15,2025-01-08,AG_147
LDSMFG_122357,HUMAN,ANSWERED,146,2025-01-18,AG_113
LDSMFG_194114,HUMAN,ANSWERED,235,2025-01-28,AG_139
LDSMFG_184756,HUMAN,ANSWERED,133,2025-01-29,AG_137
LDSMFG_169868,HUMAN,NO_ANSWER,27,2025-01-16,AG_102
LDSMFG_198492,HUMAN,ANSWERED,20,2025-01-12,AG_146
LDSMFG_181089,HUMAN,NO_ANSWER,82,2025-01-02,AG_111
LDSMFG_152315,HUMAN,ANSWERED,252,2025-01-19,AG_129
LDSMFG_188625,HUMAN,ANSWERED,108,2025-01-08,AG_114
LDSMFG_110677,HUMAN,ANSWERED,116,2025-01-13,AG_102
LDSMFG_135010,HUMAN,ANSWERED,2,2025-01-18,AG_114
LDSMFG_112301,HUMAN,ANSWERED,65,2025-01-07,AG_111
LDSMFG_106050,HUMAN,NO_ANSWER,229,2025-01-04,AG_141
LDSMFG_136981,HUMAN,NO_ANSWER,68,2025-01-05,AG_109
LDSMFG_119939,HUMAN,BUSY,189,2025-01-19,AG_129
LDSMFG_163594,HUMAN,BUSY,245,2025-01-10,AG_149
LDSMFG_128865,HUMAN,NO_ANSWER,200,2025-01-04,AG_144
LDSMFG_183482,HUMAN,NO_ANSWER,283,2025-01-17,AG_108
LDSMFG_119352,HUMAN,NO_ANSWER,10,2025-01-27,AG_123
LDSMFG_126418,HUMAN,NO_ANSWER,94,2025-01-13,AG_131
LDSMFG_186060,HUMAN,BUSY,188,2025-01-30,AG_140
LDSMFG_113507,HUMAN,NO_ANSWER,296,2025-01-10,AG_102
LDSMFG_136916,HUMAN,BUSY,37,2025-01-15,AG_110
LDSMFG_168372,HUMAN,ANSWERED,187,2025-01-22,AG_135
LDSMFG_148413,HUMAN,NO_ANSWER,22,2025-01-04,AG_105
LDSMFG_193864,HUMAN,ANSWERED,51,2025-01-28,AG_127
LDSMFG_197813,HUMAN,ANSWERED,173,2025-01-28,AG_114
LDSMFG_128794,HUMAN,NO_ANSWER,247,2025-01-09,AG_122
LDSMFG_102260,HUMAN,NO_ANSWER,197,2025-01-22,AG_120
LDSMFG_162051,HUMAN,ANSWERED,66,2025-01-17,AG_140
LDSMFG_100834,HUMAN,ANSWERED,19,2025-01-12,AG_101
LDSMFG_183628,HUMAN,NO_ANSWER,84,2025-01-04,AG_119
LDSMFG_150258,HUMAN,NO_ANSWER,134,2025-01-01,AG_140
LDSMFG_134775,HUMAN,ANSWERED,264,2025-01-15,AG_122
LDSMFG_141433,HUMAN,NO_ANSWER,32,2025-01-15,AG_116
LDSMFG_147974,HUMAN,NO_ANSWER,222,2025-01-14,AG_147
LDSMFG_128464,HUMAN,NO_ANSWER,177,2025-01-02,AG_143
LDSMFG_153276,HUMAN,NO_ANSWER,283,2025-01-24,AG_143
LDSMFG_124833,HUMAN,NO_ANSWER,30,2025-01-02,AG_132
LDSMFG_115979,HUMAN,NO_ANSWER,283,2025-01-01,AG_130
LDSMFG_197757,HUMAN,NO_ANSWER,44,2025-01-25,AG_104
LDSMFG_173205,HUMAN,NO_ANSWER,45,2025-01-24,AG_117
LDSMFG_168323,HUMAN,ANSWERED,53,2025-01-09,AG_113
LDSMFG_137752,HUMAN,ANSWERED,6,2025-01-09,AG_122
LDSMFG_134647,HUMAN,NO_ANSWER,102,2025-01-24,AG_103
LDSMFG_148988,HUMAN,ANSWERED,248,2025-01-03,AG_123
LDSMFG_154440,HUMAN,NO_ANSWER,75,2025-01-27,AG_137
LDSMFG_159180,HUMAN,NO_ANSWER,160,2025-01-21,AG_119
LDSMFG_165447,HUMAN,ANSWERED,267,2025-01-04,AG_108
LDSMFG_132570,HUMAN,NO_ANSWER,268,2025-01-04,AG_110
LDSMFG_123773,HUMAN,ANSWERED,277,2025-01-27,AG_100
LDSMFG_175515,HUMAN,NO_ANSWER,101,2025-01-08,AG_118
LDSMFG_175546,HUMAN,NO_ANSWER,175,2025-01-10,AG_115
LDSMFG_129057,HUMAN,NO_ANSWER,69,2025-01-05,AG_132
LDSMFG_131817,HUMAN,NO_ANSWER,75,2025-01-05,AG_140
LDSMFG_154064,HUMAN,NO_ANSWER,215,2025-01-15,AG_139
LDSMFG_156611,HUMAN,NO_ANSWER,13,2025-01-06,AG_128
LDSMFG_183090,HUMAN,NO_ANSWER,135,2025-01-01,AG_140
LDSMFG_189145,HUMAN,ANSWERED,174,2025-01-13,AG_139
LDSMFG_105904,HUMAN,NO_ANSWER,296,2025-01-01,AG_114
LDSMFG_154606,HUMAN,NO_ANSWER,205,2025-01-23,AG_138
LDSMFG_196850,HUMAN,NO_ANSWER,37,2025-01-22,AG_112
LDSMFG_172944,HUMAN,NO_ANSWER,238,2025-01-01,AG_147
LDSMFG_159041,HUMAN,NO_ANSWER,161,2025-01-28,AG_124
LDSMFG_107060,HUMAN,NO_ANSWER,36,2025-01-09,AG_133
LDSMFG_187936,HUMAN,NO_ANSWER,138,2025-01-03,AG_116
LDSMFG_162194,HUMAN,NO_ANSWER,246,2025-01-17,AG_120
LDSMFG_100298,HUMAN,NO_ANSWER,198,2025-01-02,AG_109
LDSMFG_183667,HUMAN,ANSWERED,98,2025-01-05,AG_149
LDSMFG_152863,HUMAN,NO_ANSWER,153,2025-01-04,AG_121
LDSMFG_127583,HUMAN,NO_ANSWER,4,2025-01-04,AG_111
LDSMFG_124053,HUMAN,NO_ANSWER,146,2025-01-02,AG_125
LDSMFG_122635,HUMAN,NO_ANSWER,63,2025-01-15,AG_131
LDSMFG_175421,HUMAN,ANSWERED,8,2025-01-10,AG_111
LDSMFG_107282,HUMAN,ANSWERED,138,2025-01-07,AG_116
LDSMFG_189743,HUMAN,NO_ANSWER,176,2025-01-29,AG_140
LDSMFG_130823,HUMAN,NO_ANSWER,244,2025-01-23,AG_119
LDSMFG_116836,HUMAN,NO_ANSWER,223,2025-01-04,AG_116
LDSMFG_140609,HUMAN,BUSY,234,2025-01-30,AG_131
LDSMFG_155614,HUMAN,NO_ANSWER,190,2025-01-20,AG_127
LDSMFG_120204,HUMAN,ANSWERED,281,2025-01-22,AG_100
LDSMFG_197392,HUMAN,NO_ANSWER,186,2025-01-08,AG_131
LDSMFG_191246,HUMAN,NO_ANSWER,89,2025-01-06,AG_103
LDSMFG_124921,HUMAN,NO_ANSWER,206,2025-01-08,AG_105
LDSMFG_176037,HUMAN,ANSWERED,31,2025-01-07,AG_106
LDSMFG_199174,HUMAN,NO_ANSWER,114,2025-01-05,AG_104
LDSMFG_189783,HUMAN,NO_ANSWER,261,2025-01-14,AG_120
LDSMFG_150317,HUMAN,NO_ANSWER,18,2025-01-09,AG_129
LDSMFG_112329,HUMAN,ANSWERED,31,2025-01-29,AG_139
LDSMFG_164814,HUMAN,NO_ANSWER,237,2025-01-19,AG_118
LDSMFG_158970,HUMAN,NO_ANSWER,166,2025-01-13,AG_110
LDSMFG_165568,HUMAN,NO_ANSWER,67,2025-01-19,AG_118
LDSMFG_120821,HUMAN,NO_ANSWER,226,2025-01-07,AG_127
LDSMFG_143477,HUMAN,NO_ANSWER,206,2025-01-09,AG_148
LDSMFG_119762,HUMAN,ANSWERED,242,2025-01-15,AG_106
LDSMFG_159827,HUMAN,NO_ANSWER,14,2025-01-09,AG_118
LDSMFG_177017,HUMAN,NO_ANSWER,213,2025-01-15,AG_133
LDSMFG_183009,HUMAN,NO_ANSWER,140,2025-01-01,AG_120
LDSMFG_128345,HUMAN,NO_ANSWER,16,2025-01-04,AG_147
LDSMFG_176809,HUMAN,NO_ANSWER,225,2025-01-25,AG_105
LDSMFG_102597,HUMAN,NO_ANSWER,273,2025-01-10,AG_129
LDSMFG_191443,HUMAN,ANSWERED,72,2025-01-08,AG_107
LDSMFG_145956,HUMAN,NO_ANSWER,55,2025-01-02,AG_124
LDSMFG_182288,HUMAN,ANSWERED,265,2025-01-07,AG_149
LDSMFG_148889,HUMAN,ANSWERED,67,2025-01-27,AG_132
LDSMFG_113217,HUMAN,ANSWERED,179,2025-01-05,AG_108
LDSMFG_132737,HUMAN,NO_ANSWER,93,2025-01-08,AG_146
LDSMFG_148708,HUMAN,BUSY,60,2025-01-05,AG_110
LDSMFG_194838,HUMAN,ANSWERED,132,2025-01-15,AG_147
LDSMFG_128931,HUMAN,NO_ANSWER,143,2025-01-22,AG_106
LDSMFG_122533,HUMAN,BUSY,214,2025-01-16,AG_109
LDSMFG_170754,HUMAN,NO_ANSWER,181,2025-01-24,AG_144
LDSMFG_182876,HUMAN,NO_ANSWER,252,2025-01-05,AG_105
LDSMFG_181208,HUMAN,NO_ANSWER,10,2025-01-15,AG_132
LDSMFG_108715,HUMAN,ANSWERED,240,2025-01-04,AG_111
LDSMFG_168844,HUMAN,NO_ANSWER,180,2025-01-07,AG_147
LDSMFG_123170,HUMAN,ANSWERED,213,2025-01-10,AG_142
LDSMFG_121585,HUMAN,BUSY,129,2025-01-23,AG_115
LDSMFG_154722,HUMAN,ANSWERED,151,2025-01-09,AG_105
LDSMFG_109979,HUMAN,NO_ANSWER,218,2025-01-28,AG_118
LDSMFG_144136,HUMAN,NO_ANSWER,18,2025-01-09,AG_143
LDSMFG_192048,HUMAN,NO_ANSWER,74,2025-01-29,AG_112
LDSMFG_131555,HUMAN,BUSY,117,2025-01-03,AG_123
LDSMFG_171673,HUMAN,ANSWERED,40,2025-01-19,AG_109
LDSMFG_196240,HUMAN,NO_ANSWER,61,2025-01-27,AG_139
LDSMFG_148889,HUMAN,NO_ANSWER,18,2025-01-22,AG_134
LDSMFG_177544,HUMAN,ANSWERED,81,2025-01-04,AG_109
LDSMFG_199412,HUMAN,ANSWERED,92,2025-01-01,AG_115
LDSMFG_126625,HUMAN,ANSWERED,74,2025-01-18,AG_142
LDSMFG_117384,HUMAN,NO_ANSWER,142,2025-01-15,AG_123
LDSMFG_153022,HUMAN,NO_ANSWER,209,2025-01-12,AG_140
LDSMFG_110836,HUMAN,NO_ANSWER,212,2025-01-12,AG_137
LDSMFG_114224,HUMAN,ANSWERED,59,2025-01-11,AG_105
LDSMFG_185929,HUMAN,ANSWERED,166,2025-01-02,AG_131
LDSMFG_181728,HUMAN,NO_ANSWER,107,2025-01-27,AG_113
LDSMFG_170909,HUMAN,NO_ANSWER,223,2025-01-26,AG_131
LDSMFG_128489,HUMAN,ANSWERED,68,2025-01-10,AG_111
LDSMFG_178450,HUMAN,NO_ANSWER,219,2025-01-13,AG_122
LDSMFG_179372,HUMAN,NO_ANSWER,130,2025-01-12,AG_120
LDSMFG_154197,HUMAN,NO_ANSWER,251,2025-01-16,AG_128
LDSMFG_198837,HUMAN,NO_ANSWER,103,2025-01-02,AG_140
LDSMFG_198789,HUMAN,ANSWERED,259,2025-01-10,AG_111
LDSMFG_199699,HUMAN,NO_ANSWER,12,2025-01-18,AG_129
LDSMFG_127725,HUMAN,NO_ANSWER,143,2025-01-15,AG_141
LDSMFG_120769,HUMAN,BUSY,155,2025-01-21,AG_142
LDSMFG_132501,HUMAN,NO_ANSWER,222,2025-01-11,AG_129
LDSMFG_181981,HUMAN,NO_ANSWER,264,2025-01-14,AG_137
LDSMFG_140921,HUMAN,NO_ANSWER,2,2025-01-02,AG_119
LDSMFG_112756,HUMAN,NO_ANSWER,258,2025-01-21,AG_117
LDSMFG_120077,HUMAN,NO_ANSWER,47,2025-01-26,AG_145
LDSMFG_151603,HUMAN,ANSWERED,291,2025-01-07,AG_141
LDSMFG_107187,HUMAN,BUSY,196,2025-01-27,AG_117
LDSMFG_199727,HUMAN,NO_ANSWER,72,2025-01-12,AG_142
LDSMFG_161097,HUMAN,NO_ANSWER,21,2025-01-30,AG_101
LDSMFG_195617,HUMAN,ANSWERED,94,2025-01-22,AG_120
LDSMFG_144330,HUMAN,ANSWERED,72,2025-01-12,AG_122
LDSMFG_174813,HUMAN,NO_ANSWER,83,2025-01-08,AG_143
LDSMFG_185810,HUMAN,NO_ANSWER,179,2025-01-26,AG_106
LDSMFG_154377,HUMAN,ANSWERED,24,2025-01-28,AG_136
LDSMFG_142053,HUMAN,NO_ANSWER,268,2025-01-16,AG_134
LDSMFG_126063,HUMAN,NO_ANSWER,192,2025-01-17,AG_101
LDSMFG_182419,HUMAN,NO_ANSWER,143,2025-01-07,AG_111
LDSMFG_193644,HUMAN,ANSWERED,126,2025-01-30,AG_112
LDSMFG_110218,HUMAN,ANSWERED,72,2025-01-06,AG_109
LDSMFG_185766,HUMAN,ANSWERED,136,2025-01-22,AG_124
LDSMFG_104398,HUMAN,ANSWERED,187,2025-01-14,AG_111
LDSMFG_145256,HUMAN,NO_ANSWER,230,2025-01-11,AG_148
LDSMFG_110219,HUMAN,NO_ANSWER,153,2025-01-09,AG_135
LDSMFG_188096,HUMAN,ANSWERED,297,2025-01-07,AG_131
LDSMFG_193134,HUMAN,ANSWERED,125,2025-01-29,AG_120
LDSMFG_121813,HUMAN,ANSWERED,274,2025-01-09,AG_111
LDSMFG_176320,HUMAN,BUSY,251,2025-01-07,AG_100
LDSMFG_177487,HUMAN,NO_ANSWER,213,2025-01-02,AG_130
